meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a91b2de3bab725623a4153"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-HR"",""locale"":""en-GB"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":2048,""screen_height"":1152,""scroll_width"":1986,""scroll_height"":983,""window_innerWidth"":1986,""window_innerHeight"":1031,""devicePixelRatio"":1.25}",Demography form,html.Form,0,53,master,mother-tongue,poduzetnik,,form submission,13784.9,992.6000000238419,996,1012.6,14797.5,14797.800000071526,2024-07-30T16:56:28.671Z,14807.2,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,148598,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,4203.700000095367,14797.900000095367,14790.5,14807.2,19010.900000095367,19011.600000023842,2024-07-30T16:56:32.885Z,19027.3,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,2743.5000000715263,19011.700000047684,19010.6,19027.3,21770.800000071526,21772.200000047684,2024-07-30T16:56:35.646Z,21779.6,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,1736.0000000238433,21772.300000071526,21762.9,21779.6,23515.600000023842,23516.700000047684,2024-07-30T16:56:37.390Z,23531,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,3848.2000000476837,23516.700000047684,23514.4,23531,27379.200000047684,27379.700000047684,2024-07-30T16:56:41.253Z,27400.9,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,click,,,,,,,,,,
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a91b2de3bab725623a4153"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-HR"",""locale"":""en-GB"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1858,""scroll_height"":911,""window_innerWidth"":1858,""window_innerHeight"":959,""devicePixelRatio"":1}",Demography form,html.Form,0,53,master,mother-tongue,poduzetnik,,form submission,14132.7,648.7999999523163,653.666,670.3,14803,14803.5,2024-07-30T16:58:21.895Z,14815.3,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,148598,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,3057.2999999046333,14803.799999952316,14798.6,14815.3,17872.599999904633,17873.399999976158,2024-07-30T16:58:24.965Z,17884.5,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,click,,,,,,,,,,
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a91b2de3bab725623a4153"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-HR"",""locale"":""en-GB"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1858,""scroll_height"":911,""window_innerWidth"":1858,""window_innerHeight"":959,""devicePixelRatio"":1}",Demography form,html.Form,0,53,master,mother-tongue,poduzetnik,,form submission,11865.000000047683,848.5,856.166,872.7,12737.700000047684,12738,2024-07-30T17:04:55.319Z,12749.2,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,148598,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,3163.100000071525,12738.200000047684,12732.53,12749.2,15912.300000071526,15912.900000095367,2024-07-30T17:04:58.494Z,15918.6,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,2569.6000000476834,15913,15901.8,15918.6,18488.200000047684,18488.900000095367,2024-07-30T17:05:01.070Z,18504,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,1688.8000000715256,18488.900000095367,18487.3,18504,20192.800000071526,20193.800000071526,2024-07-30T17:05:02.775Z,20205.3,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,1715.0000000715263,20193.900000095367,20188.7,20205.3,21920.300000071526,21920.800000071526,2024-07-30T17:05:04.502Z,21923.5,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,4836.700000047684,21920.900000095367,21906.8,21923.5,26760.200000047684,26761.100000023842,2024-07-30T17:05:09.342Z,26777.4,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,2,click @2,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,1314.3000000476823,26761.100000023842,26760.73,26777.4,28091.700000047684,28092.5,2024-07-30T17:05:10.674Z,28095.2,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,3673.100000071525,28092.600000023842,28078.5,28095.2,31768.300000071526,31768.800000071526,2024-07-30T17:05:14.350Z,31781.5,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,2482.8000000715256,31769.100000023842,31764.8,31781.5,34264.300000071526,34265,2024-07-30T17:05:16.846Z,34266.9,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,7,click @7,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,2483.600000023842,31768.900000095367,31764.8,31781.5,34265.10000002384,34265.200000047684,2024-07-30T17:05:16.846Z,34266.9,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,2333.900000071524,34265.300000071526,34250.2,34266.9,36600.800000071526,36601.700000047684,2024-07-30T17:05:19.183Z,36602.2,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,mousedown,,,,,,,,,,
,Question form,html.Form,1_9,,,,,,form submission,4775.20000009537,36601.700000047684,36601.184,36602.2,41377.40000009537,41377.60000002384,2024-07-30T17:05:23.959Z,41389.4,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,zrele,,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,response,1283.500000095366,41378.5,41372.7,41389.4,42672.90000009537,42674,2024-07-30T17:05:25.255Z,42690.5,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,mousedown,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_11,,,,,,response,2398.5,42674.10000002384,42673.8,42690.5,45089,45090.5,2024-07-30T17:05:27.672Z,45092.5,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,mousedown,,,,,,,,,,
,First stimuli,flow.Sequence,1,,,,,,completion,32339.8,12738.100000023842,12732.53,12749.2,45089,45090.60000002384,2024-07-30T17:05:27.672Z,45092.5,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,,,,,,,,,,
,context,canvas.Screen,2_0_0_0,,,,,,response,2475.7000000476837,45090.800000071526,45075.7,45092.5,47568.200000047684,47568.800000071526,2024-07-30T17:05:30.150Z,47577.8,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,click,,Što je Inna tri sata pročitala?,Inna je tri sata čitala zanimljiv članak.,nf,,,39,,,
,Timer frame,html.Frame,2_0_0,,,,,,,2476.4000000953674,45090.800000071526,45075.7,45092.5,47568.90000009537,47569,2024-07-30T17:05:30.150Z,47577.8,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,,Što je Inna tri sata pročitala?,Inna je tri sata čitala zanimljiv članak.,nf,,,39,,,
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,3782.5000000715227,47569.10000002384,47561.2,47577.8,51360.300000071526,51360.90000009537,2024-07-30T17:05:33.942Z,51364.3,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,5,click @5,,Što je Inna tri sata pročitala?,Inna je tri sata čitala zanimljiv članak.,nf,,,39,,,
,Timer frame,html.Frame,2_0_1,,,,,,,3783.199999999997,47569.10000002384,47561.2,47577.8,51361,51361.10000002384,2024-07-30T17:05:33.942Z,51364.3,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,,Što je Inna tri sata pročitala?,Inna je tri sata čitala zanimljiv članak.,nf,,,39,,,
,Spremanje,canvas.Screen,2_0_2,,,,,,skipped,,51361.10000002384,,,51361,51361.200000047684,2024-07-30T17:05:33.942Z,51364.3,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,,Što je Inna tri sata pročitala?,Inna je tri sata čitala zanimljiv članak.,nf,,,39,,,
,Question form,html.Form,2_0_3,,,,,,skipped,,51361.300000071526,,,51361,51361.300000071526,2024-07-30T17:05:33.942Z,51364.3,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,,Što je Inna tri sata pročitala?,Inna je tri sata čitala zanimljiv članak.,nf,,,39,,,
,Answer indication,canvas.Screen,2_0_4,,,,,,skipped,,51361.90000009537,,,51361,51361.90000009537,2024-07-30T17:05:33.943Z,51364.3,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,,Što je Inna tri sata pročitala?,Inna je tri sata čitala zanimljiv članak.,nf,,,39,,,
,inter-stimulus,canvas.Screen,2_0_5,,,,,,response,1948.5000000715227,51362,51347.6,51364.3,53312.800000071526,53313.800000071526,2024-07-30T17:05:35.895Z,53315.8,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,mousedown,,Što je Inna tri sata pročitala?,Inna je tri sata čitala zanimljiv članak.,nf,,,39,,,
,Sequence,flow.Sequence,2_0,,,,,,completion,8220.300000071526,45090.800000071526,45075.7,45092.5,53312.800000071526,53314,2024-07-30T17:05:35.895Z,53315.8,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,,Što je Inna tri sata pročitala?,Inna je tri sata čitala zanimljiv članak.,nf,,,39,,,
,context,canvas.Screen,2_1_0_0,,,,,,response,7364.6000000953645,53314.200000047684,53299.2,53315.8,60680.40000009537,60681,2024-07-30T17:05:43.262Z,60688.6,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,click,,Lijepe su samo crne čizme bile u ovom ormaru.,Samo su crne čizme bile lijepe stvari u ovom ormaru.,di,,,34,CRNA; CRNE; CRNI; CRNO; CRN,Boja cipela je?,
,Timer frame,html.Frame,2_1_0,,,,,,,7365.400000047681,53314,53299.2,53315.8,60681.200000047684,60681.200000047684,2024-07-30T17:05:43.262Z,60688.6,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,,Lijepe su samo crne čizme bile u ovom ormaru.,Samo su crne čizme bile lijepe stvari u ovom ormaru.,di,,,34,CRNA; CRNE; CRNI; CRNO; CRN,Boja cipela je?,
,stimulus,canvas.Screen,2_1_1_0,,,,,,response,3775.700000071527,60681.700000047684,60671.964,60688.6,64464.300000071526,64464.800000071526,2024-07-30T17:05:47.045Z,64475,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,6,click @6,,Lijepe su samo crne čizme bile u ovom ormaru.,Samo su crne čizme bile lijepe stvari u ovom ormaru.,di,,,34,CRNA; CRNE; CRNI; CRNO; CRN,Boja cipela je?,
,Timer frame,html.Frame,2_1_1,,,,,,,3776.300000095369,60681.300000071526,60671.964,60688.6,64464.90000009537,64464.90000009537,2024-07-30T17:05:47.046Z,64475,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,,Lijepe su samo crne čizme bile u ovom ormaru.,Samo su crne čizme bile lijepe stvari u ovom ormaru.,di,,,34,CRNA; CRNE; CRNI; CRNO; CRN,Boja cipela je?,
,Spremanje,canvas.Screen,2_1_2,,,,,,response,1246.3000000715256,64465,64458.4,64475,65721.30000007153,65722.20000004768,2024-07-30T17:05:48.303Z,65726.1,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,mousedown,,Lijepe su samo crne čizme bile u ovom ormaru.,Samo su crne čizme bile lijepe stvari u ovom ormaru.,di,,,34,CRNA; CRNE; CRNI; CRNO; CRN,Boja cipela je?,
,Question form,html.Form,2_1_3,,,,,,form submission,8691.20000007152,65722.30000007153,65709.3,65726.1,74417.30000007153,74417.40000009537,2024-07-30T17:05:56.998Z,74433.2,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,,crna,Lijepe su samo crne čizme bile u ovom ormaru.,Samo su crne čizme bile lijepe stvari u ovom ormaru.,di,,,34,CRNA; CRNE; CRNI; CRNO; CRN,Boja cipela je?,
,Answer indication,canvas.Screen,2_1_4,,,,,,response,1191.7000000953703,74418.10000002384,74416.6,74433.2,75624.90000009537,75626,2024-07-30T17:05:58.207Z,75634.2,0BJtjcDyfZ,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8ntnec,,,mousedown,,Lijepe su samo crne čizme bile u ovom ormaru.,Samo su crne čizme bile lijepe stvari u ovom ormaru.,di,,,34,CRNA; CRNE; CRNI; CRNO; CRN,Boja cipela je?,
