meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66aa96f1e3bab725623a4596"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":393,""screen_height"":873,""scroll_width"":980,""scroll_height"":1926,""window_innerWidth"":980,""window_innerHeight"":1835,""devicePixelRatio"":2.75}",Demography form,html.Form,0,34,master,mother-tongue,magistra hrvatskog jezika i književnosti,,form submission,29563.100000190734,1255.6000001430511,1264.5,1281.2,30844.300000190735,30846.200000047684,2024-07-31T19:57:03.243Z,30890,2PuMEJFsNx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulza9pefs,660317,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,6599,30846.900000095367,30839.5,30890,37489,37703.5,2024-07-31T19:57:10.100Z,37783.5,2PuMEJFsNx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulza9pefs,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,11946.700000047684,37704.700000047684,37716.2,37783.5,49730.200000047684,49969,2024-07-31T19:57:22.365Z,50006.9,2PuMEJFsNx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulza9pefs,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,11629.400000190733,49969.90000009537,49973.2,50006.9,61636.300000190735,61845.200000047684,2024-07-31T19:57:34.242Z,61894,2PuMEJFsNx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulza9pefs,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,3748.600000143051,61845.60000014305,61860.4,61894,65642.60000014305,65843.20000004768,2024-07-31T19:57:38.240Z,65895.6,2PuMEJFsNx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulza9pefs,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,6617.600000047678,65844.5,65845.2,65895.6,72513.20000004768,72737.20000004768,2024-07-31T19:57:45.134Z,72805.8,2PuMEJFsNx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulza9pefs,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,9773.500000190732,72738.10000014305,72738.6,72805.8,82579.30000019073,82808.70000004768,2024-07-31T19:57:55.205Z,82860.1,2PuMEJFsNx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulza9pefs,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,4438.200000190729,82810.10000014305,82809.7,82860.1,87298.30000019073,87479.5,2024-07-31T19:57:59.876Z,87551.3,2PuMEJFsNx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulza9pefs,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,4904.199999999997,87490,87484.1,87551.3,92455.5,92667.80000019073,2024-07-31T19:58:05.064Z,92713.3,2PuMEJFsNx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulza9pefs,,6,click @6,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,5117.500000190732,87480.80000019073,87484.1,87551.3,92668.80000019073,92670.5,2024-07-31T19:58:05.067Z,92713.3,2PuMEJFsNx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulza9pefs,,,,,,,,,,,,,
