meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a94959e3bab725623a4263"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/Sarajevo"",""timezoneOffset"":-120,""screen_width"":393,""screen_height"":873,""scroll_width"":980,""scroll_height"":2006,""window_innerWidth"":980,""window_innerHeight"":1915,""devicePixelRatio"":2.75}",Demography form,html.Form,0,18,highschool,mother-tongue,"Mehatronika ",,form submission,25409.899999952315,2746,2746.8,2763.4,28173.299999952316,28174.200000047684,2024-07-30T20:13:41.952Z,28203.6,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,350444,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,11203.900000000001,28174.600000023842,28193.088,28203.6,39407.5,39661.799999952316,2024-07-30T20:13:53.440Z,39709.5,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,25447.399999976158,39662.799999952316,39691.856,39709.5,65156.89999997616,65403.299999952316,2024-07-30T20:14:19.181Z,65452.854,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,2106.3460000476844,65403.799999952316,65452.854,65452.854,67559.20000004768,67794.5,2024-07-30T20:14:21.573Z,67819.426,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,5915.174000023835,67795.10000002384,67819.426,67819.426,73734.60000002384,73965.29999995232,2024-07-30T20:14:27.743Z,74023.6,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,10366.399999999994,73966.39999997616,74019.178,74023.6,84390,84612.20000004768,2024-07-30T20:14:38.390Z,84641.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,1268.4999999523134,84613.10000002384,84639.842,84641.8,85910.29999995232,86151.70000004768,2024-07-30T20:14:39.930Z,86202,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,4407.799999952316,86152.60000002384,86191.738,86202,90609.79999995232,90869,2024-07-30T20:14:44.647Z,90900.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,4301.800000023839,90874.29999995232,90900.698,90900.8,95202.60000002384,95442.79999995232,2024-07-30T20:14:49.221Z,95493,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,3,click @3,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,4542.900000047681,90870,90900.698,90900.8,95443.70000004768,95445.20000004768,2024-07-30T20:14:49.223Z,95493,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,7041.100000023842,95445.70000004768,95476.398,95493,102534.10000002384,102695.79999995232,2024-07-30T20:14:56.474Z,102713.7,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,mousedown,,,,,,,,,,
,Question form,html.Form,1_9,,,,,,form submission,9344.09999995232,102696.89999997616,102709.378,102713.7,112057.79999995232,112058.79999995232,2024-07-30T20:15:05.837Z,112096.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,Sočne,,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,response,5330.800000023839,112063.89999997616,112086.086,112096.8,117427.60000002384,117692.10000002384,2024-07-30T20:15:11.470Z,117742.3,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,mousedown,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_11,,,,,,response,4178.400000047681,117692.70000004768,117729.908,117742.3,121920.70000004768,122133.70000004768,2024-07-30T20:15:15.912Z,122161.7,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,mousedown,,,,,,,,,,
,First stimuli,flow.Sequence,1,,,,,,completion,93717.10000004768,28174.600000023842,28193.088,28203.6,121920.70000004768,122140,2024-07-30T20:15:15.918Z,122161.7,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,,,,,,,,,
,context,canvas.Screen,2_0_0_0,,,,,,response,5605.000000047687,122141.79999995232,122158.79,122161.7,127766.70000004768,127984.79999995232,2024-07-30T20:15:21.763Z,128016.6,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,click,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,,
,Timer frame,html.Frame,2_0_0,,,,,,,5823.500000047687,122141.20000004768,122158.79,122161.7,127985.20000004768,127986.5,2024-07-30T20:15:21.765Z,128016.6,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,,
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,3666.100000047678,127987.29999995232,128012.928,128016.6,131682.70000004768,131912.60000002384,2024-07-30T20:15:25.691Z,131938.962,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,5,click @5,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,,
,Timer frame,html.Frame,2_0_1,,,,,,,3896.399999999994,127986.79999995232,128012.928,128016.6,131913,131914.10000002384,2024-07-30T20:15:25.692Z,131938.962,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,,
,Spremanje,canvas.Screen,2_0_2,,,,,,skipped,,131914.39999997616,,,131913,131914.79999995232,2024-07-30T20:15:25.693Z,131938.962,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,,
,Question form,html.Form,2_0_3,,,,,,skipped,,131915,,,131913,131915.29999995232,2024-07-30T20:15:25.693Z,131938.962,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,,
,Answer indication,canvas.Screen,2_0_4,,,,,,skipped,,131918.89999997616,,,131913,131919.10000002384,2024-07-30T20:15:25.697Z,131938.962,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,,
,inter-stimulus,canvas.Screen,2_0_5,,,,,,response,1911.4379999761586,131919.39999997616,131938.962,131938.962,133850.39999997616,134076.79999995232,2024-07-30T20:15:27.855Z,134105.542,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,mousedown,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,,
,Sequence,flow.Sequence,2_0,,,,,,completion,11688.699999976161,122141.20000004768,122158.79,122161.7,133850.39999997616,134077.79999995232,2024-07-30T20:15:27.856Z,134105.542,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Kad je Lena pronašla honorarni posao?,Lena je pronašla honorarni posao ubrzo nakon praznika..,gf,,32,51,,,
,context,canvas.Screen,2_1_0_0,,,,,,response,3661.4580000000133,134078.70000004768,134105.542,134105.542,137767,138000.5,2024-07-30T20:15:31.779Z,138024.796,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,click,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,Timer frame,html.Frame,2_1_0,,,,,,,3895.2579999523296,134078.20000004768,134105.542,134105.542,138000.79999995232,138001.29999995232,2024-07-30T20:15:31.779Z,138024.796,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,stimulus,canvas.Screen,2_1_1_0,,,,,,response,3248.003999952314,138002.10000002384,138024.796,138024.796,141272.79999995232,141505.5,2024-07-30T20:15:35.284Z,141541.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,1,click @1,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,Timer frame,html.Frame,2_1_1,,,,,,,3481.203999999998,138001.5,138024.796,138024.796,141506,141506.39999997616,2024-07-30T20:15:35.284Z,141541.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,Spremanje,canvas.Screen,2_1_2,,,,,,skipped,,141506.70000004768,,,141506,141507,2024-07-30T20:15:35.285Z,141541.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,Question form,html.Form,2_1_3,,,,,,skipped,,141507.29999995232,,,141506,141507.60000002384,2024-07-30T20:15:35.286Z,141541.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,Answer indication,canvas.Screen,2_1_4,,,,,,skipped,,141511,,,141506,141511.20000004768,2024-07-30T20:15:35.289Z,141541.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,inter-stimulus,canvas.Screen,2_1_5,,,,,,response,753.8000000238535,141511.29999995232,141524.93,141541.8,142295.60000002384,142550,2024-07-30T20:15:36.328Z,142587.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,mousedown,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,Sequence,flow.Sequence,2_1,,,,,,completion,8190.058000023855,134078,134105.542,134105.542,142295.60000002384,142551.39999997616,2024-07-30T20:15:36.329Z,142587.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,context,canvas.Screen,2_2_0_0,,,,,,response,2698.7000000000116,142552.70000004768,142575.092,142587.8,145286.5,145499.79999995232,2024-07-30T20:15:39.278Z,145553.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,click,,O čemu je Ivo cijelu večer pričao?,Ivo je cijelu večer pričao o autima.,gf,,,47,,,
,Timer frame,html.Frame,2_2_0,,,,,,,2912.7000000000116,142551.89999997616,142575.092,142587.8,145500.5,145501.20000004768,2024-07-30T20:15:39.279Z,145553.8,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,O čemu je Ivo cijelu večer pričao?,Ivo je cijelu večer pričao o autima.,gf,,,47,,,
,stimulus,canvas.Screen,2_2_1_0,,,,,,response,2164.3000000238535,145502.39999997616,145546.794,145553.8,147718.10000002384,147974.89999997616,2024-07-30T20:15:41.753Z,147997.1,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,7,click @7,,O čemu je Ivo cijelu večer pričao?,Ivo je cijelu večer pričao o autima.,gf,,,47,,,
,Timer frame,html.Frame,2_2_1,,,,,,,2421.59999997617,145501.60000002384,145546.794,145553.8,147975.39999997616,147975.79999995232,2024-07-30T20:15:41.754Z,147997.1,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,O čemu je Ivo cijelu večer pričao?,Ivo je cijelu večer pričao o autima.,gf,,,47,,,
,Spremanje,canvas.Screen,2_2_2,,,,,,skipped,,147976.10000002384,,,147975.39999997616,147976.29999995232,2024-07-30T20:15:41.754Z,147997.1,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,O čemu je Ivo cijelu večer pričao?,Ivo je cijelu večer pričao o autima.,gf,,,47,,,
,Question form,html.Form,2_2_3,,,,,,skipped,,147976.60000002384,,,147975.39999997616,147976.70000004768,2024-07-30T20:15:41.755Z,147997.1,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,O čemu je Ivo cijelu večer pričao?,Ivo je cijelu večer pričao o autima.,gf,,,47,,,
,Answer indication,canvas.Screen,2_2_4,,,,,,skipped,,147979.10000002384,,,147975.39999997616,147979.29999995232,2024-07-30T20:15:41.757Z,147997.1,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,O čemu je Ivo cijelu večer pričao?,Ivo je cijelu večer pričao o autima.,gf,,,47,,,
,inter-stimulus,canvas.Screen,2_2_5,,,,,,response,739.500000023836,147979.5,147997.032,147997.1,148736.60000002384,148989.89999997616,2024-07-30T20:15:42.768Z,149037.1,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,mousedown,,O čemu je Ivo cijelu večer pričao?,Ivo je cijelu večer pričao o autima.,gf,,,47,,,
,Sequence,flow.Sequence,2_2,,,,,,completion,6148.8000000238535,142551.79999995232,142575.092,142587.8,148736.60000002384,148991.29999995232,2024-07-30T20:15:42.769Z,149037.1,3IbX4RX_3Z,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8uuy85,,,,,O čemu je Ivo cijelu večer pričao?,Ivo je cijelu večer pričao o autima.,gf,,,47,,,
