meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a960e5e3bab725623a4299"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":384,""screen_height"":832,""scroll_width"":980,""scroll_height"":1882,""window_innerWidth"":980,""window_innerHeight"":1786,""devicePixelRatio"":2.8125}",Demography form,html.Form,0,32,master,mother-tongue,Knjižničar,,form submission,25764.300000047682,1005.0999999046326,1003.5,1111.9,26876.200000047684,26877.599999904633,2024-07-30T21:54:07.985Z,26930.9,6q8-cdK9ew,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8yg417,496243,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,7402.800000047682,26878.200000047684,26880.9,26930.9,34333.700000047684,34589.799999952316,2024-07-30T21:54:15.697Z,34632,6q8-cdK9ew,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8yg417,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,20965.599999904633,34590.299999952316,34590.4,34632,55597.59999990463,55851,2024-07-30T21:54:36.958Z,55894.9,6q8-cdK9ew,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8yg417,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,4120.699999904631,55851.299999952316,55853.2,55894.9,60015.59999990463,60229.59999990463,2024-07-30T21:54:41.337Z,60262.5,6q8-cdK9ew,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8yg417,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,336.7000000476837,60229.90000009537,60237.6,60262.5,60599.200000047684,60863.200000047684,2024-07-30T21:54:41.970Z,60921.3,6q8-cdK9ew,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8yg417,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,5912.1000000953645,60863.59999990463,60871.4,60921.3,66833.40000009537,67034.90000009537,2024-07-30T21:54:48.142Z,67071.5,6q8-cdK9ew,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8yg417,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,4512.400000095367,67035.20000004768,67038.3,67071.5,71583.90000009537,71817.40000009537,2024-07-30T21:54:52.925Z,71864.1,6q8-cdK9ew,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8yg417,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,2261.899999999994,71817.79999995232,71822.4,71864.1,74126,74352.20000004768,2024-07-30T21:54:55.459Z,,6q8-cdK9ew,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8yg417,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,5713.300000000003,74355.79999995232,74355.9,74405.7,80119,80351.09999990463,2024-07-30T21:55:01.458Z,80406.9,6q8-cdK9ew,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8yg417,,7,click @7,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,5945.70000009537,74352.59999990463,74355.9,74405.7,80351.40000009537,80352,2024-07-30T21:55:01.459Z,80406.9,6q8-cdK9ew,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8yg417,,,,,,,,,,,,,
