meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a96c19e3bab725623a42c2"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""hr"",""locale"":""hr"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":360,""screen_height"":800,""scroll_width"":980,""scroll_height"":2045,""window_innerWidth"":980,""window_innerHeight"":1941,""devicePixelRatio"":3}",Demography form,html.Form,0,24,highschool,mother-tongue,Povijest umjetnosti,,form submission,23794.50000000298,1588.6000000089407,1593.6,1610.2,25404.70000000298,25405.60000000894,2024-07-30T22:41:53.221Z,25496.6,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,236241,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,8384.900000000001,25406.20000000298,25482.784,25496.6,33881.5,34131.10000000894,2024-07-30T22:42:01.947Z,34204,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,14619.40000000596,34131.60000000894,34137.8,34204,48823.40000000596,49071.60000000894,2024-07-30T22:42:16.887Z,49136.7,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,6,click @6,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,6646.599999997023,49071.90000000596,49087,49136.7,55783.29999999702,56029.29999999702,2024-07-30T22:42:23.845Z,56089.6,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,3890.4000000000015,56029.79999999702,56039.9,56089.6,59980,60125.70000000298,2024-07-30T22:42:27.941Z,60211.4,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,7488.300000002979,60126.10000000894,60128.6,60211.4,67699.70000000298,67941.60000000894,2024-07-30T22:42:35.757Z,68007.6,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,2711.3000000059546,67941.90000000596,67958,68007.6,70718.90000000596,70970.10000000894,2024-07-30T22:42:38.786Z,71020.9,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,4421.500000005966,70971,70971.2,71020.9,75442.40000000596,75669.5,2024-07-30T22:42:43.485Z,75721.7,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,7715.200000005963,75675,75672.1,75721.7,83436.90000000596,83646.40000000596,2024-07-30T22:42:51.462Z,83717.5,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,6,click @6,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,7925.000000002983,75670,75672.1,75721.7,83646.70000000298,83647.5,2024-07-30T22:42:51.463Z,83717.5,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,3665.2999999970198,83647.70000000298,83651.3,83717.5,87382.79999999702,87611.20000000298,2024-07-30T22:42:55.427Z,87641.1,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,,mousedown,,,,,,,,,,
,Question form,html.Form,1_9,,,,,,form submission,13464.199999997014,87611.5,87624.6,87641.1,101105.29999999702,101105.79999999702,2024-07-30T22:43:08.921Z,101182.2,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,,,Zrele,,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,response,1775.300000000003,101108.10000000894,101166.694,101182.2,102957.5,103189.90000000596,2024-07-30T22:43:11.005Z,103251.6,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,,mousedown,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_11,,,,,,response,3876.699999997014,103190.20000000298,103201.9,103251.6,107128.29999999702,107371,2024-07-30T22:43:15.187Z,107423.5,Am3KlW_S9_,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz905nhy,,,mousedown,,,,,,,,,,
