meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a922b2e3bab725623a41ab"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 OPR/112.0.0.0"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1866,""scroll_height"":871,""window_innerWidth"":1866,""window_innerHeight"":919,""devicePixelRatio"":1}",Demography form,html.Form,0,27,master,mother-tongue,STEM,,form submission,13922.814000047683,1165.4000000953674,1177.886,1177.886,15100.700000047684,15101.100000143051,2024-07-30T17:28:33.599Z,15114.1,BMPNF2epqC,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8oyvjr,820752,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,6511.500000143051,15101.400000095367,15099.564,15114.1,21625.60000014305,21626.300000190735,2024-07-30T17:28:40.124Z,21635.3,BMPNF2epqC,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8oyvjr,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,23295.100000095368,21626.300000190735,21622,21635.3,44930.40000009537,44931.5,2024-07-30T17:29:03.430Z,44936.9,BMPNF2epqC,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8oyvjr,,6,click @6,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,11989.300000047682,44931.60000014305,44926.346,44936.9,56926.200000047684,56927.200000047684,2024-07-30T17:29:15.426Z,56941.2,BMPNF2epqC,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8oyvjr,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,2046.300000000003,56927.300000190735,56927.8,56941.2,58987.5,58988.10000014305,2024-07-30T17:29:17.487Z,58995.4,BMPNF2epqC,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8oyvjr,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,7090.20000014305,58988.200000047684,58985.006,58995.4,66085.60000014305,66086.5,2024-07-30T17:29:24.585Z,66091,BMPNF2epqC,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8oyvjr,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,1061.6000001430511,66086.5,66081.03,66091,67152.60000014305,67154.60000014305,2024-07-30T17:29:25.653Z,67171.4,BMPNF2epqC,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8oyvjr,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,2150.100000000006,67154.90000009537,67144.8,67171.4,69321.5,69322.10000014305,2024-07-30T17:29:27.821Z,69332.1,BMPNF2epqC,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8oyvjr,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,3895.399999999994,69323.5,69321.834,69332.1,73227.5,73228.80000019073,2024-07-30T17:29:31.727Z,73253.6,BMPNF2epqC,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8oyvjr,,7,click @7,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,3896.8000000953616,69322.30000019073,69321.834,69332.1,73228.90000009537,73229.10000014305,2024-07-30T17:29:31.728Z,73253.6,BMPNF2epqC,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8oyvjr,,,,,,,,,,,,,
