meta,sender,sender_type,sender_id,age,gender-birth,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/664d05ae1edf7d6ac4e9e3f2"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":1536,""screen_height"":864,""scroll_width"":1312,""scroll_height"":692,""window_innerWidth"":1312,""window_innerHeight"":740,""devicePixelRatio"":1.25}",Demography form,html.Form,0,42,male,master,mother-tongue,Softverski inženjer,,form submission,36038.76800002384,1700.300000011921,1724.832,1724.832,37763.60000002384,37764.60000002384,2024-05-21T20:36:36.870Z,37775,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,458957,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,,response,5635.600000023842,37765.19999998808,37758.288,37775,43410.60000002384,43411.80000001192,2024-05-21T20:36:42.517Z,43441.7,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,,response,38067.100000011924,43412,43408.324,43441.7,81508.80000001192,81512.39999997616,2024-05-21T20:37:20.618Z,81525.2,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,5,click @5,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,,response,9299.199999976161,81512.60000002384,81508.378,81525.2,90824.39999997616,90825.80000001192,2024-05-21T20:37:29.931Z,90841.9,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,,response,6090.700000023848,90825.89999997616,90825.224,90841.9,96932.60000002384,96933.5,2024-05-21T20:37:36.039Z,96958.5,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,,response,15664.600000023842,96933.60000002384,96925.254,96958.5,112623.10000002384,112624.10000002384,2024-05-21T20:37:51.729Z,112642.7,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,1,click @1,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,,response,2342.699999976161,112624.19999998808,112624.986,112642.7,114985.39999997616,114987.39999997616,2024-05-21T20:37:54.093Z,114992.1,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,,response,6390.599999988073,114987.89999997616,114992.056,114992.1,121382.69999998808,121383.80000001192,2024-05-21T20:38:00.489Z,121408.6,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,,response,9070.000000023836,121387.10000002384,121375.2,121408.6,130478.60000002384,130481.89999997616,2024-05-21T20:38:09.587Z,130491.9,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,6,click @6,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,,9073.500000023836,121384.10000002384,121375.2,121408.6,130482.10000002384,130482.89999997616,2024-05-21T20:38:09.588Z,130491.9,Dh-x6F29Zl,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibl38lwguulk9,,,,,,,,,,,,
