meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66713664eed7e641ddd30c01"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0"",""platform"":""Win32"",""language"":""hr"",""locale"":""hr-HR"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":683,""window_innerWidth"":1536,""window_innerHeight"":731,""devicePixelRatio"":1.25}",Demography form,html.Form,0,57,phd,mother-tongue,filolog,,form submission,24020.58,3533,3538.74,3555.42,27576,27579,2024-06-18T07:25:51.114Z,27585.42,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,490393,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,10136.580000000002,27580,27567.82,27585.42,37722,37736,2024-06-18T07:26:01.272Z,37750.72,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,25424.28,37737,37735.02,37750.72,63175,63196,2024-06-18T07:26:26.732Z,63197.26,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,11070.739999999998,63196,63194.74,63197.26,74268,74282,2024-06-18T07:26:37.817Z,74279.1,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,6723.899999999994,74282,74275.64,74279.1,81003,81015,2024-06-18T07:26:44.551Z,81028,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,17678,81016,81014.52,81028,98706,98717,2024-06-18T07:27:02.253Z,98725.6,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,1386.3999999999942,98718,98715.54,98725.6,100112,100120,2024-06-18T07:27:03.656Z,100119.58,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,5477.419999999998,100120,100118.96,100119.58,105597,105604,2024-06-18T07:27:09.140Z,105607.86,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,6598.139999999999,105604,105602.92,105607.86,112206,112212,2024-06-18T07:27:15.747Z,112223.56,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,7,click @7,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,6604.139999999999,105604,105602.92,105607.86,112212,112213,2024-06-18T07:27:15.748Z,112223.56,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,9607.440000000002,112213,112210.6,112223.56,121831,121854,2024-06-18T07:27:25.389Z,121855.88,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,mousedown,,,,,,,,,,
,Question form,html.Form,1_9,,,,,,form submission,9372.119999999995,121854,121852.22,121855.88,131228,131229,2024-06-18T07:27:34.764Z,131238.56,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,,ne znam,,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,response,5358.440000000002,131236,131226.64,131238.56,136597,136614,2024-06-18T07:27:40.150Z,136620.28,Dpgv3oGnIS,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxk2xq24,,,mousedown,,,,,,,,,,
