meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a92f89e3bab725623a41da"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""hr-HR"",""locale"":""hr"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":393,""screen_height"":873,""scroll_width"":980,""scroll_height"":1916,""window_innerWidth"":980,""window_innerHeight"":1825,""devicePixelRatio"":2.75}",Demography form,html.Form,0,25,highschool,mother-tongue,Geoloski Tehničar,,form submission,40871.30000004768,1723.7000000476837,1725.8,1824.9,42696.200000047684,42698.200000047684,2024-07-30T18:23:47.442Z,42751.2,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,846459,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,5568.800000000003,42699.60000002384,42701.7,42751.2,48320,48538.200000047684,2024-07-30T18:23:53.282Z,48631.7,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,18405.60000007153,48539.5,48549.1,48631.7,67037.30000007153,67263,2024-07-30T18:24:12.007Z,67324.6,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,2,click @2,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,2363.2000000715198,67263.39999997616,67275,67324.6,69687.80000007153,69919.10000002384,2024-07-30T18:24:14.663Z,69999.4,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,4739.700000023848,69920,69933.3,69999.4,74739.10000002384,74955.80000007153,2024-07-30T18:24:19.699Z,75083.6,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,9498.70000007152,74956.39999997616,74968.1,75083.6,84582.30000007153,84799,2024-07-30T18:24:29.543Z,84882.3,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,1308.9000000476808,84800.10000002384,84799.3,84882.3,86191.20000004768,86407.5,2024-07-30T18:24:31.151Z,86509,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,3188.8000000715256,86408.5,86426,86509,89697.80000007153,89947.20000004768,2024-07-30T18:24:34.691Z,90031.2,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,6079.6000000715285,89956.5,89948.3,90031.2,96110.80000007153,96348.89999997616,2024-07-30T18:24:41.092Z,96443.1,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,5,click @5,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,6318.6000000715285,89948.5,89948.3,90031.2,96349.80000007153,96351.89999997616,2024-07-30T18:24:41.095Z,96443.1,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,7836.399999999994,96352.60000002384,96343.6,96443.1,104279.5,104516.39999997616,2024-07-30T18:24:49.260Z,104535.4,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,,mousedown,,,,,,,,,,
,Question form,html.Form,1_9,,,,,,form submission,10388.999999976164,104517.5,104518.8,104535.4,114924.39999997616,114926.5,2024-07-30T18:24:59.670Z,114979.856,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,,,Slatke,,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,response,2866.944000071526,114933.80000007153,114979.856,114979.856,117846.80000007153,118104.10000002384,2024-07-30T18:25:02.848Z,118199,JzUOBPldlg,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8qxcvi,,,mousedown,,,,,,,,,,
