meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a911ece3bab725623a4116"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/Warsaw"",""timezoneOffset"":-120,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":906,""window_innerWidth"":1920,""window_innerHeight"":954,""devicePixelRatio"":1}",Demography form,html.Form,0,27,bachelor,mother-tongue,Komunikologija,,form submission,16216.2,920,920.12,936.8,17153,17153,2024-07-30T16:17:01.611Z,17169.66,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,577485,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,4354.34,17153,17153,17169.66,21524,21538,2024-07-30T16:17:05.996Z,21552.86,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,12596.14,21539,21536.2,21552.86,34149,34158,2024-07-30T16:17:18.615Z,34169.18,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,6167.82,34158,34152.5,34169.18,40337,40339,2024-07-30T16:17:24.797Z,40369,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,2452,40339,40352.32,40369,42821,42835,2024-07-30T16:17:27.293Z,42852.24,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,5625.760000000002,42835,42835.58,42852.24,48478,48485,2024-07-30T16:17:32.942Z,48502.08,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,1443.9199999999983,48485,48485.42,48502.08,49946,49949,2024-07-30T16:17:34.406Z,49968.7,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,2477.300000000003,49949,49952.04,49968.7,52446,52453,2024-07-30T16:17:36.910Z,52468.64,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,2665.3600000000006,52454,52451.96,52468.64,55134,55143,2024-07-30T16:17:39.599Z,55151.9,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,7,click @7,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,2674.3600000000006,52454,52451.96,52468.64,55143,55143,2024-07-30T16:17:39.600Z,55151.9,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,2872.0999999999985,55143,55135.22,55151.9,58024,58034,2024-07-30T16:17:42.491Z,58051.8,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,mousedown,,,,,,,,,,
,Question form,html.Form,1_9,,,,,,form submission,9410.199999999997,58035,58035.14,58051.8,67462,67462,2024-07-30T16:17:51.919Z,67484.86,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,Zrele,,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,response,2180.1399999999994,67465,67468.2,67484.86,69665,69679,2024-07-30T16:17:54.136Z,69701.46,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,mousedown,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_11,,,,,,response,2401.5399999999936,69679,69684.8,69701.46,72103,72109,2024-07-30T16:17:56.565Z,72134.74,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,mousedown,,,,,,,,,,
,First stimuli,flow.Sequence,1,,,,,,completion,54933.34,17153,17153,17169.66,72103,72109,2024-07-30T16:17:56.565Z,72134.74,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,,,,,,,,,
,context,canvas.Screen,2_0_0_0,,,,,,response,2968.2599999999948,72110,72118.06,72134.74,75103,75116,2024-07-30T16:17:59.572Z,75134.64,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,click,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Timer frame,html.Frame,2_0_0,,,,,,,2981.2599999999948,72109,72118.06,72134.74,75116,75116,2024-07-30T16:17:59.574Z,75134.64,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,2374.3600000000006,75117,75117.98,75134.64,77509,77518,2024-07-30T16:18:01.975Z,77534.58,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,7,click @7,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Timer frame,html.Frame,2_0_1,,,,,,,2383.3600000000006,75116,75117.98,75134.64,77518,77518,2024-07-30T16:18:01.975Z,77534.58,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Spremanje,canvas.Screen,2_0_2,,,,,,skipped,,77518,,,77518,77518,2024-07-30T16:18:01.975Z,77534.58,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Question form,html.Form,2_0_3,,,,,,skipped,,77518,,,77518,77518,2024-07-30T16:18:01.975Z,77534.58,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Answer indication,canvas.Screen,2_0_4,,,,,,skipped,,77519,,,77518,77519,2024-07-30T16:18:01.977Z,77534.58,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,inter-stimulus,canvas.Screen,2_0_5,,,,,,response,1630.4199999999983,77519,77517.92,77534.58,79165,79181,2024-07-30T16:18:03.637Z,79201.2,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,mousedown,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,Sequence,flow.Sequence,2_0,,,,,,completion,7030.259999999995,72109,72118.06,72134.74,79165,79181,2024-07-30T16:18:03.637Z,79201.2,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Večeras je Anna nalakirala nokte.,Anna je večeras nalakirala nokte.,gf,,,49,,,
,context,canvas.Screen,2_1_0_0,,,,,,response,2744.800000000003,79181,79184.52,79201.2,81946,81948,2024-07-30T16:18:06.405Z,81967.78,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,click,,Kakve izgrađene u viktorijansko doba te zgrade su izgrađene??,Te su zgrade izgrađene u viktorijansko doba.,nf,36,,43,,,
,Timer frame,html.Frame,2_1_0,,,,,,,2746.800000000003,79181,79184.52,79201.2,81948,81948,2024-07-30T16:18:06.405Z,81967.78,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Kakve izgrađene u viktorijansko doba te zgrade su izgrađene??,Te su zgrade izgrađene u viktorijansko doba.,nf,36,,43,,,
,stimulus,canvas.Screen,2_1_1_0,,,,,,response,3978.220000000001,81949,81951.12,81967.78,85946,85952,2024-07-30T16:18:10.409Z,85967.68,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,1,click @1,,Kakve izgrađene u viktorijansko doba te zgrade su izgrađene??,Te su zgrade izgrađene u viktorijansko doba.,nf,36,,43,,,
,Timer frame,html.Frame,2_1_1,,,,,,,3984.220000000001,81948,81951.12,81967.78,85952,85952,2024-07-30T16:18:10.409Z,85967.68,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Kakve izgrađene u viktorijansko doba te zgrade su izgrađene??,Te su zgrade izgrađene u viktorijansko doba.,nf,36,,43,,,
,Spremanje,canvas.Screen,2_1_2,,,,,,skipped,,85952,,,85952,85952,2024-07-30T16:18:10.409Z,85967.68,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Kakve izgrađene u viktorijansko doba te zgrade su izgrađene??,Te su zgrade izgrađene u viktorijansko doba.,nf,36,,43,,,
,Question form,html.Form,2_1_3,,,,,,skipped,,85952,,,85952,85952,2024-07-30T16:18:10.409Z,85967.68,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Kakve izgrađene u viktorijansko doba te zgrade su izgrađene??,Te su zgrade izgrađene u viktorijansko doba.,nf,36,,43,,,
,Answer indication,canvas.Screen,2_1_4,,,,,,skipped,,85954,,,85952,85954,2024-07-30T16:18:10.410Z,85967.68,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Kakve izgrađene u viktorijansko doba te zgrade su izgrađene??,Te su zgrade izgrađene u viktorijansko doba.,nf,36,,43,,,
,inter-stimulus,canvas.Screen,2_1_5,,,,,,response,1775.320000000007,85954,85951,85967.68,87743,87756,2024-07-30T16:18:12.213Z,87784.28,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,mousedown,,Kakve izgrađene u viktorijansko doba te zgrade su izgrađene??,Te su zgrade izgrađene u viktorijansko doba.,nf,36,,43,,,
,Sequence,flow.Sequence,2_1,,,,,,completion,8541.800000000003,79181,79184.52,79201.2,87743,87756,2024-07-30T16:18:12.214Z,87784.28,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,,,Kakve izgrađene u viktorijansko doba te zgrade su izgrađene??,Te su zgrade izgrađene u viktorijansko doba.,nf,36,,43,,,
,context,canvas.Screen,2_2_0_0,,,,,,response,1989.7200000000012,87756,87767.62,87784.28,89774,89780,2024-07-30T16:18:14.237Z,89800.9,SWGPFYzQBA,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8merow,,,click,,Komu tužno je gledati da ljudi i dalje daju novac??,Tužno je gledati da ljudi i dalje daju novac šarlatanima..,si,38,33,19,,,
