meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66aa4ef9e3bab725623a451d"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":393,""screen_height"":873,""scroll_width"":980,""scroll_height"":1916,""window_innerWidth"":980,""window_innerHeight"":1825,""devicePixelRatio"":2.75}",Demography form,html.Form,0,50,,mother-tongue,"Turizam ",,form submission,24948.69999998212,1183.2999999821186,1207.8,1224.1,26172.79999998212,26176,2024-07-31T14:51:00.376Z,26244.4,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,628671,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,21416.399999982117,26177.59999999404,26230.128,26244.4,47660.79999998212,47918.29999998212,2024-07-31T14:51:22.118Z,48014.1,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,28390.19999998212,47919.69999998808,47991.63,48014.1,76404.29999998212,76624.09999999404,2024-07-31T14:51:50.824Z,76731.8,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,15258.899999988076,76624.79999998212,76720.602,76731.8,91990.69999998808,92191.69999998808,2024-07-31T14:52:06.392Z,92256.6,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,2535.3000000059546,92193,92247.846,92256.6,94791.90000000596,94969.29999998212,2024-07-31T14:52:09.169Z,95059.5,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,5220.799999982119,94969.69999998808,95039.822,95059.5,100280.29999998212,100498.5,2024-07-31T14:52:14.698Z,100575.946,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,10179.554000000004,100499.59999999404,100575.946,100575.946,110755.5,110972.09999999404,2024-07-31T14:52:25.172Z,111092.3,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,2893.1000000059576,110973.5,111075.526,111092.3,113985.40000000596,114183.59999999404,2024-07-31T14:52:28.383Z,114289,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,7613.0999999940395,114193.29999998212,114258.84,114289,121902.09999999404,122123.40000000596,2024-07-31T14:52:36.323Z,122235.994,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,5,click @5,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,7835.5999999940395,114184.79999998212,114258.84,114289,122124.59999999404,122127.59999999404,2024-07-31T14:52:36.327Z,122235.994,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,10398.406000005954,122128.59999999404,122235.994,122235.994,132634.40000000596,132845.40000000596,2024-07-31T14:52:47.045Z,132863.7,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,mousedown,,,,,,,,,,
,Question form,html.Form,1_9,,,,,,form submission,12534.099999982107,132846.59999999404,132852.236,132863.7,145397.79999998212,145399,2024-07-31T14:52:59.599Z,145453.2,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,,Zrele,,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,response,2040.7000000059488,145405.29999998212,145440.026,145453.2,147493.90000000596,147716.29999998212,2024-07-31T14:53:01.916Z,147830.8,TYqkLYL0P8,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9yqhc1,,,mousedown,,,,,,,,,,
