meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a91215e3bab725623a411b"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36 EdgA/127.0.0.0"",""platform"":""Linux armv81"",""language"":""hr-HR"",""locale"":""hr"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":412,""screen_height"":915,""scroll_width"":980,""scroll_height"":1943,""window_innerWidth"":980,""window_innerHeight"":1867,""devicePixelRatio"":3.5}",Demography form,html.Form,0,47,master,mother-tongue,dipl. ing. prometa,,form submission,44899.79999999851,1069,1076.766,1093.1,45992.89999999851,45993.89999999851,2024-07-30T16:18:11.100Z,46058,WXvo7egSFR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8mfr6x,160234,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,22315.19999999553,45994.39999999851,45983.4,46058,68373.19999999553,68563.19999999553,2024-07-30T16:18:33.669Z,68624.9,WXvo7egSFR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8mfr6x,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,20892.699999994045,68563.39999999851,68559,68624.9,89517.59999999404,89721.39999999851,2024-07-30T16:18:54.828Z,89796.5,WXvo7egSFR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8mfr6x,,5,click @5,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,13572.09999999404,89722.19999999553,89722.3,89796.5,103368.59999999404,103597.59999999404,2024-07-30T16:19:08.704Z,103668.9,WXvo7egSFR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8mfr6x,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,7528.100000000006,103598.39999999851,103602.9,103668.9,111197,111416.19999999553,2024-07-30T16:19:16.522Z,111496.8,WXvo7egSFR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8mfr6x,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,4436.799999994037,111417.39999999851,111413.4,111496.8,115933.59999999404,116115.89999999851,2024-07-30T16:19:21.222Z,116185.3,WXvo7egSFR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8mfr6x,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,2108.999999997017,116117.09999999404,116118.6,116185.3,118294.29999999702,118559.69999999553,2024-07-30T16:19:23.666Z,118617.6,WXvo7egSFR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8mfr6x,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,6124.499999994034,118560,118559.2,118617.6,124742.09999999404,125011.39999999851,2024-07-30T16:19:30.118Z,125085.8,WXvo7egSFR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8mfr6x,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,6041.999999997017,125021.29999999702,125010.8,125085.8,131127.79999999702,131335.8999999985,2024-07-30T16:19:36.442Z,131410.7,WXvo7egSFR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8mfr6x,,7,click @7,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,6252.399999995527,125013.59999999404,125010.8,125085.8,131338.19999999553,131339.79999999702,2024-07-30T16:19:36.446Z,131410.7,WXvo7egSFR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8mfr6x,,,,,,,,,,,,,
