meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a9ce96e3bab725623a4359"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""en-US"",""locale"":""hr"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":407,""screen_height"":904,""scroll_width"":980,""scroll_height"":1931,""window_innerWidth"":980,""window_innerHeight"":1844,""devicePixelRatio"":3}",Demography form,html.Form,0,34,master,mother-tongue,Psiholog,,form submission,20008.30000001192,1127.9000000059605,1126.1,1134.5,21142.80000001192,21143.30000001192,2024-07-31T05:42:02.457Z,21254.5,_Ss5NYbESu,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9f5vdd,189368,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,19164.5,21143.5,21213.948,21254.5,40419,40653.70000001788,2024-07-31T05:42:21.968Z,40701.2,_Ss5NYbESu,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9f5vdd,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,26352.800000000003,40653.90000000596,40680.132,40701.2,67054,67326.90000000596,2024-07-31T05:42:48.641Z,67470.7,_Ss5NYbESu,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9f5vdd,,4,click @4,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,492.8000000000029,67327.60000002384,67457.446,67470.7,67963.5,68177,2024-07-31T05:42:49.491Z,68276.2,_Ss5NYbESu,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9f5vdd,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,6173.400000023845,68178.5,68270.668,68276.2,74449.60000002384,74672.60000002384,2024-07-31T05:42:55.987Z,74796.7,_Ss5NYbESu,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9f5vdd,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,8471.200000005963,74674.10000002384,74775.94,74796.7,83267.90000000596,83498.80000001192,2024-07-31T05:43:04.813Z,83601.7,_Ss5NYbESu,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9f5vdd,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,10485.600000011924,83499.60000002384,83596.348,83601.7,94087.30000001192,94302.10000002384,2024-07-31T05:43:15.616Z,94368.7,_Ss5NYbESu,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9f5vdd,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,8911.300000000003,94302.40000000596,94354.128,94368.7,103280,103527.60000002384,2024-07-31T05:43:24.842Z,103630.5,_Ss5NYbESu,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9f5vdd,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,6120.4000000059605,103540.20000001788,103618.33,103630.5,109750.90000000596,110018.90000000596,2024-07-31T05:43:31.333Z,110107.2,_Ss5NYbESu,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9f5vdd,,4,click @4,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,6389,103528.70000001788,103618.33,103630.5,110019.5,110022.10000002384,2024-07-31T05:43:31.336Z,110107.2,_Ss5NYbESu,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz9f5vdd,,,,,,,,,,,,,
