meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a938c4e3bab725623a4202"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""hr-HR"",""locale"":""hr"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":384,""screen_height"":832,""scroll_width"":980,""scroll_height"":1966,""window_innerWidth"":980,""window_innerHeight"":1871,""devicePixelRatio"":2.8125}",Demography form,html.Form,0,18,highschool,mother-tongue,Studentica računarstva,,form submission,28320,1418,1423.9,1465.5,29785.5,29786.599999964237,2024-07-30T19:02:57.865Z,29818.9,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,763703,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,5252.699999964236,29787,29785.6,29818.9,35071.59999996424,35321,2024-07-30T19:03:03.400Z,35418.3,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,45493.599999976155,35321.30000001192,35334.6,35418.3,80911.89999997616,81160,2024-07-30T19:03:49.239Z,81191.3,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,3592.0999999761552,81160.30000001192,81158,81191.3,84783.39999997616,85016.89999997616,2024-07-30T19:03:53.095Z,85121.6,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,1830.7999999761523,85017.30000001192,85021.4,85121.6,86952.39999997616,87173.39999997616,2024-07-30T19:03:55.252Z,87190.5,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,8930.699999988079,87173.59999996424,87173.7,87190.5,96121.19999998808,96354.39999997616,2024-07-30T19:04:04.433Z,96459.4,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,1213.6000000000058,96354.80000001192,96359.2,96459.4,97673,97889.89999997616,2024-07-30T19:04:05.968Z,97944.4,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,2398.499999976164,97890.09999996424,97902.6,97944.4,100342.89999997616,100576.09999996424,2024-07-30T19:04:08.655Z,100680.6,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,4934.299999976152,100580.09999996424,100580.5,100680.6,105614.89999997616,105850.59999996424,2024-07-30T19:04:13.929Z,105869.6,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,3,click @3,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,5170.299999976152,100576.39999997616,100580.5,100680.6,105850.89999997616,105851.39999997616,2024-07-30T19:04:13.930Z,105869.6,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,6553.299999976152,105851.59999996424,105852.9,105869.6,112422.89999997616,112647.59999996424,2024-07-30T19:04:20.726Z,112719.4,fuDh-MbTW2,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8sbzje,,,mousedown,,,,,,,,,,
