meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a917b8e3bab725623a413a"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""en-HR"",""locale"":""en-GB"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":360,""screen_height"":780,""scroll_width"":980,""scroll_height"":1898,""window_innerWidth"":980,""window_innerHeight"":1794,""devicePixelRatio"":3}",Demography form,html.Form,0,53,master,mother-tongue,Poduzetnik,,form submission,45568.599999976155,1080.2999999821186,1092.7,1108.8,46677.39999997616,46678.19999998808,2024-07-30T16:42:15.182Z,46721.6,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,797565,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,16572.19999998212,46678.69999998808,46704.618,46721.6,63293.79999998212,63525.89999997616,2024-07-30T16:42:32.029Z,63564.2,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,12980.300000000003,63526.19999998808,63549.316,63564.2,76544.5,76798.19999998808,2024-07-30T16:42:45.302Z,76844.892,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,8421.607999999993,76798.29999998212,76844.892,76844.892,85266.5,85469.09999999404,2024-07-30T16:42:53.973Z,85499.832,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,6742.767999994045,85469.19999998808,85499.832,85499.832,92242.59999999404,92422.79999998212,2024-07-30T16:43:00.926Z,92477.5,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,11158.899999976158,92422.89999997616,92466.22,92477.5,103636.39999997616,103867,2024-07-30T16:43:12.371Z,103901.158,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,11024.842000000004,103867.29999998212,103901.158,103901.158,114926,115149.89999997616,2024-07-30T16:43:23.653Z,115198.8,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,4513.199999999997,115150.09999999404,115198.8,115198.8,119712,119958.89999997616,2024-07-30T16:43:28.462Z,119998.608,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,5895.491999994047,119964.09999999404,119998.608,119998.608,125894.09999999404,126072.19999998808,2024-07-30T16:43:34.576Z,126129.2,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,7,click @7,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,6073.791999976165,119959.09999999404,119998.608,119998.608,126072.39999997616,126073.09999999404,2024-07-30T16:43:34.577Z,126129.2,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,7708.399999994042,126073.19999998808,126119.094,126129.2,133837.59999999404,134094,2024-07-30T16:43:42.597Z,134118.9,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,mousedown,,,,,,,,,,
,Question form,html.Form,1_9,,,,,,form submission,8827.499999976164,134094.09999999404,134102.9,134118.9,142946.39999997616,142946.69999998808,2024-07-30T16:43:51.450Z,142988.8,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,,"Zrele ",,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,response,5231.799999994051,142955.89999997616,142982.49,142988.8,148220.59999999404,148455.29999998212,2024-07-30T16:43:56.959Z,148496.2,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,mousedown,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_11,,,,,,response,7212.6999999761465,148455.5,148490.076,148496.2,155708.89999997616,155964.19999998808,2024-07-30T16:44:04.468Z,155992.93,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,mousedown,,,,,,,,,,
,First stimuli,flow.Sequence,1,,,,,,completion,108987.29999997615,46678.69999998808,46704.618,46721.6,155708.89999997616,155966.19999998808,2024-07-30T16:44:04.470Z,155992.93,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,,,,,,,,,,,
,context,canvas.Screen,2_0_0_0,,,,,,response,6731.1699999940465,155966.69999998808,155992.93,155992.93,162724.09999999404,162954.69999998808,2024-07-30T16:44:11.458Z,163007.096,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,click,,Kakva je kraj mene biciklom prošla djevojka?,Kraj mene je biciklom prošla vrlo lijepa djevojka.,ai,,,27,,,
,Timer frame,html.Frame,2_0_0,,,,,,,6961.969999976165,155966.39999997616,155992.93,155992.93,162954.89999997616,162955.59999999404,2024-07-30T16:44:11.459Z,163007.096,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,,,Kakva je kraj mene biciklom prošla djevojka?,Kraj mene je biciklom prošla vrlo lijepa djevojka.,ai,,,27,,,
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,8554.803999976168,162955.89999997616,163007.096,163007.096,171561.89999997616,171810.09999999404,2024-07-30T16:44:20.314Z,171842.998,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,2,click @2,,Kakva je kraj mene biciklom prošla djevojka?,Kraj mene je biciklom prošla vrlo lijepa djevojka.,ai,,,27,,,
,Timer frame,html.Frame,2_0_1,,,,,,,8803.203999982128,162955.69999998808,163007.096,163007.096,171810.29999998212,171811,2024-07-30T16:44:20.314Z,171842.998,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,,,Kakva je kraj mene biciklom prošla djevojka?,Kraj mene je biciklom prošla vrlo lijepa djevojka.,ai,,,27,,,
,Spremanje,canvas.Screen,2_0_2,,,,,,skipped,,171811,,,171810.29999998212,171811.19999998808,2024-07-30T16:44:20.315Z,171842.998,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,,,Kakva je kraj mene biciklom prošla djevojka?,Kraj mene je biciklom prošla vrlo lijepa djevojka.,ai,,,27,,,
,Question form,html.Form,2_0_3,,,,,,skipped,,171811.39999997616,,,171810.29999998212,171811.5,2024-07-30T16:44:20.315Z,171842.998,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,,,Kakva je kraj mene biciklom prošla djevojka?,Kraj mene je biciklom prošla vrlo lijepa djevojka.,ai,,,27,,,
,Answer indication,canvas.Screen,2_0_4,,,,,,skipped,,171813.29999998212,,,171810.29999998212,171813.39999997616,2024-07-30T16:44:20.317Z,171842.998,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,,,Kakva je kraj mene biciklom prošla djevojka?,Kraj mene je biciklom prošla vrlo lijepa djevojka.,ai,,,27,,,
,inter-stimulus,canvas.Screen,2_0_5,,,,,,response,9567.601999994047,171813.5,171842.998,171842.998,181410.59999999404,181660.59999999404,2024-07-30T16:44:30.164Z,181703.1,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,mousedown,,Kakva je kraj mene biciklom prošla djevojka?,Kraj mene je biciklom prošla vrlo lijepa djevojka.,ai,,,27,,,
,Sequence,flow.Sequence,2_0,,,,,,completion,25417.669999994047,155966.39999997616,155992.93,155992.93,181410.59999999404,181660.89999997616,2024-07-30T16:44:30.164Z,181703.1,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,,,Kakva je kraj mene biciklom prošla djevojka?,Kraj mene je biciklom prošla vrlo lijepa djevojka.,ai,,,27,,,
,context,canvas.Screen,2_1_0_0,,,,,,response,3417.4999999940337,181661.29999998212,181692.604,181703.1,185120.59999999404,185379.89999997616,2024-07-30T16:44:33.883Z,185405.396,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,click,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,Timer frame,html.Frame,2_1_0,,,,,,,3676.9999999940337,181661,181692.604,181703.1,185380.09999999404,185380.29999998212,2024-07-30T16:44:33.884Z,185405.396,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,stimulus,canvas.Screen,2_1_1_0,,,,,,response,3669.4039999821107,185380.5,185405.396,185405.396,189074.79999998212,189322.69999998808,2024-07-30T16:44:37.826Z,189356.1,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,5,click @5,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
,Timer frame,html.Frame,2_1_1,,,,,,,3917.50399997615,185380.39999997616,185405.396,185405.396,189322.89999997616,189323,2024-07-30T16:44:37.827Z,189356.1,iw2l9YzZCx,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8nao1i,,,,,Ove godine su se Viktor i Marta vjenčao.,Victor i Marta vjenčali su se ove godine.,nf,,,38,,,
