meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66719436eed7e641ddd30da4"",""userAgent"":""Mozilla/5.0 (Android 12; Mobile; rv:109.0) Gecko/117.0 Firefox/117.0"",""platform"":""Linux aarch64"",""language"":""it-HR"",""locale"":""it"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":360,""screen_height"":796,""scroll_width"":360,""scroll_height"":763,""window_innerWidth"":360,""window_innerHeight"":763,""devicePixelRatio"":3}",Demography form,html.Form,0,23,bachelor,mother-tongue,"Fonetika, glazba",,form submission,56246.56,6596,6597.42,6776.44,63023,63033,2024-06-18T14:06:44.743Z,63165.28,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,135873,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,24091.72,63038,63003,63165.28,87257,87269,2024-06-18T14:07:08.979Z,87341.32,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,19548.679999999993,87273,87255.94,87341.32,106890,106895,2024-06-18T14:07:28.604Z,107014.16,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,3962.8399999999965,106896,106889.44,107014.16,110977,110981,2024-06-18T14:07:32.689Z,111148.78,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,21104.22,110982,110976.22,111148.78,132253,132261,2024-06-18T14:07:53.970Z,132307.7,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,21466.29999999999,132263,132248.3,132307.7,153774,153779,2024-06-18T14:08:15.488Z,153818,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,7577,153780,153769.28,153818,161395,161402,2024-06-18T14:08:23.111Z,161515.42,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,4467.579999999987,161410,161394.3,161515.42,165983,165990,2024-06-18T14:08:27.698Z,166121.84,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,7778.1600000000035,165994,165978.86,166121.84,173900,173904,2024-06-18T14:08:35.613Z,174082.04,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,6,click @6,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,7783.1600000000035,165992,165978.86,166121.84,173905,173906,2024-06-18T14:08:35.615Z,174082.04,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,11649.959999999992,173909,173898.54,174082.04,185732,185736,2024-06-18T14:08:47.445Z,185750.48,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,mousedown,,,,,,,,,,
,Question form,html.Form,1_9,,,,,,form submission,36914.51999999999,185738,185730.84,185750.48,222665,222672,2024-06-18T14:09:24.381Z,222715.72,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,Zrele,,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,response,4656.279999999999,222697,222641.36,222715.72,227372,227375,2024-06-18T14:09:29.084Z,227421.84,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,mousedown,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_11,,,,,,response,6516.1600000000035,227377,227370.84,227421.84,233938,233942,2024-06-18T14:09:35.652Z,234031.4,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,mousedown,,,,,,,,,,
,First stimuli,flow.Sequence,1,,,,,,completion,170772.72,63038,63003,63165.28,233938,233944,2024-06-18T14:09:35.654Z,234031.4,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,,,,,,,,,
,context,canvas.Screen,2_0_0_0,,,,,,response,7581.600000000006,233949,233937.48,234031.4,241613,241615,2024-06-18T14:09:43.325Z,241696.72,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,click,,Što ćemo uništit i saditi vrtove?,Uništit ćemo carstva i saditi vrtove.,csi,0,0,5,,,
,Timer frame,html.Frame,2_0_0,,,,,,,7584.600000000006,233947,233937.48,234031.4,241616,241617,2024-06-18T14:09:43.326Z,241696.72,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,Što ćemo uništit i saditi vrtove?,Uništit ćemo carstva i saditi vrtove.,csi,0,0,5,,,
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,8504.279999999999,241618,241611.06,241696.72,250201,250216,2024-06-18T14:09:51.925Z,250282.54,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,3,click @3,,Što ćemo uništit i saditi vrtove?,Uništit ćemo carstva i saditi vrtove.,csi,0,0,5,,,
,Timer frame,html.Frame,2_0_1,,,,,,,8524.279999999999,241618,241611.06,241696.72,250221,250222,2024-06-18T14:09:51.931Z,250282.54,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,Što ćemo uništit i saditi vrtove?,Uništit ćemo carstva i saditi vrtove.,csi,0,0,5,,,
,Spremanje,canvas.Screen,2_0_2,,,,,,skipped,,250224,,,250221,250224,2024-06-18T14:09:51.933Z,250282.54,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,Što ćemo uništit i saditi vrtove?,Uništit ćemo carstva i saditi vrtove.,csi,0,0,5,,,
,Question form,html.Form,2_0_3,,,,,,skipped,,250225,,,250221,250225,2024-06-18T14:09:51.934Z,250282.54,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,Što ćemo uništit i saditi vrtove?,Uništit ćemo carstva i saditi vrtove.,csi,0,0,5,,,
,Answer indication,canvas.Screen,2_0_4,,,,,,skipped,,250257,,,250221,250258,2024-06-18T14:09:51.967Z,250282.54,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,Što ćemo uništit i saditi vrtove?,Uništit ćemo carstva i saditi vrtove.,csi,0,0,5,,,
,inter-stimulus,canvas.Screen,2_0_5,,,,,,response,2272.459999999992,250260,250198.48,250282.54,252555,252558,2024-06-18T14:09:54.267Z,252601.38,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,mousedown,,Što ćemo uništit i saditi vrtove?,Uništit ćemo carstva i saditi vrtove.,csi,0,0,5,,,
,Sequence,flow.Sequence,2_0,,,,,,completion,18523.600000000006,233946,233937.48,234031.4,252555,252560,2024-06-18T14:09:54.269Z,252601.38,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,Što ćemo uništit i saditi vrtove?,Uništit ćemo carstva i saditi vrtove.,csi,0,0,5,,,
,context,canvas.Screen,2_1_0_0,,,,,,response,8109.619999999995,252563,252553.26,252601.38,260711,260714,2024-06-18T14:10:02.423Z,260798.92,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,click,,"Kamo je djevojka razmišljala o slobode, idući?","Djevojka je razmišljala o slobode, idući do mora.",ai,,,23,,,
,Timer frame,html.Frame,2_1_0,,,,,,,8112.619999999995,252562,252553.26,252601.38,260714,260715,2024-06-18T14:10:02.424Z,260798.92,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,"Kamo je djevojka razmišljala o slobode, idući?","Djevojka je razmišljala o slobode, idući do mora.",ai,,,23,,,
,stimulus,canvas.Screen,2_1_1_0,,,,,,response,5189.079999999987,260716,260709.84,260798.92,265988,265991,2024-06-18T14:10:07.700Z,266241.66,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,2,click @2,,"Kamo je djevojka razmišljala o slobode, idući?","Djevojka je razmišljala o slobode, idući do mora.",ai,,,23,,,
,Timer frame,html.Frame,2_1_1,,,,,,,5192.079999999987,260715,260709.84,260798.92,265991,265993,2024-06-18T14:10:07.702Z,266241.66,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,"Kamo je djevojka razmišljala o slobode, idući?","Djevojka je razmišljala o slobode, idući do mora.",ai,,,23,,,
,Spremanje,canvas.Screen,2_1_2,,,,,,skipped,,265993,,,265991,265994,2024-06-18T14:10:07.703Z,266241.66,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,"Kamo je djevojka razmišljala o slobode, idući?","Djevojka je razmišljala o slobode, idući do mora.",ai,,,23,,,
,Question form,html.Form,2_1_3,,,,,,skipped,,265995,,,265991,265995,2024-06-18T14:10:07.704Z,266241.66,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,"Kamo je djevojka razmišljala o slobode, idući?","Djevojka je razmišljala o slobode, idući do mora.",ai,,,23,,,
,Answer indication,canvas.Screen,2_1_4,,,,,,skipped,,266004,,,265991,266005,2024-06-18T14:10:07.714Z,266241.66,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,,,"Kamo je djevojka razmišljala o slobode, idući?","Djevojka je razmišljala o slobode, idući do mora.",ai,,,23,,,
,inter-stimulus,canvas.Screen,2_1_5,,,,,,response,8203.340000000026,266006,265985.66,266241.66,274445,274449,2024-06-18T14:10:16.158Z,274486.72,l-OWYBtB7v,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibd0dlxkh8ipg,,,mousedown,,"Kamo je djevojka razmišljala o slobode, idući?","Djevojka je razmišljala o slobode, idući do mora.",ai,,,23,,,
