meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a915e7e3bab725623a4132"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""hr-HR"",""locale"":""en-US"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":655,""window_innerWidth"":1536,""window_innerHeight"":703,""devicePixelRatio"":1.25}",Demography form,html.Form,0,27,master,mother-tongue,Učiteljica hrvatskog jezika,,form submission,27764.400000047684,3277,3298.332,3331.8,31096.200000047684,31097,2024-07-30T16:34:14.690Z,31114.9,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,918515,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,5582.500000095366,31097.5,31098.728,31114.9,36697.40000009537,36698.700000047684,2024-07-30T16:34:20.291Z,36714.8,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,11296.499999952313,36698.90000009537,36698.732,36714.8,48011.299999952316,48012.299999952316,2024-07-30T16:34:31.605Z,48014.7,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,4,click @4,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,2382.7000000953703,48012.299999952316,47998.7,48014.7,50397.40000009537,50399.40000009537,2024-07-30T16:34:33.992Z,50415.346,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,2510.1540000000023,50399.60000014305,50415.346,50415.346,52925.5,52926.299999952316,2024-07-30T16:34:36.519Z,52931.3,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,5819.499999952313,52926.5,52915.2,52931.3,58750.799999952316,58751.799999952316,2024-07-30T16:34:42.344Z,58764.7,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,3698.599999952319,58751.90000009537,58748.026,58764.7,62463.299999952316,62464.90000009537,2024-07-30T16:34:46.057Z,62481.3,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,4322.1000000953645,62465.299999952316,62465.096,62481.3,66803.40000009537,66804.29999995232,2024-07-30T16:34:50.397Z,66814.65,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,4106.250000095373,66806.60000014305,66814.65,66814.65,70920.90000009537,70924,2024-07-30T16:34:54.517Z,70947.9,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,7,click @7,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,4109.450000143057,66804.40000009537,66814.65,66814.65,70924.10000014305,70924.70000004768,2024-07-30T16:34:54.517Z,70947.9,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,4050.200000143057,70924.90000009537,70931.762,70947.9,74998.10000014305,74999.90000009537,2024-07-30T16:34:58.592Z,75014.6,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,mousedown,,,,,,,,,,
,Question form,html.Form,1_9,,,,,,form submission,4152.500000143045,75000.10000014305,74998.07,75014.6,79167.10000014305,79167.29999995232,2024-07-30T16:35:02.760Z,79181.2,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,,zrele,,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,response,1528.0999999523192,79176.29999995232,79165.1,79181.2,80709.29999995232,80711.29999995232,2024-07-30T16:35:04.304Z,80714.6,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,mousedown,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_11,,,,,,response,1767.100000047678,80711.60000014305,80698.3,80714.6,82481.70000004768,82483.60000014305,2024-07-30T16:35:06.076Z,82497.8,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,mousedown,,,,,,,,,,
,First stimuli,flow.Sequence,1,,,,,,completion,51366.80000004768,31097.5,31098.728,31114.9,82481.70000004768,82487.70000004768,2024-07-30T16:35:06.080Z,82497.8,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,,,,,,,,,,,
,context,canvas.Screen,2_0_0_0,,,,,,response,4493.1000000953645,82488.29999995232,82481.742,82497.8,86990.90000009537,86991.90000009537,2024-07-30T16:35:10.584Z,86997.8,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,click,,Tko ono da je prodao svoj stan za toliki novac nevjerojatno je??,Ono da je Goran prodao svoj stan za toliki novac nevjerojatno je..,si,30,32,17,,,
,Timer frame,html.Frame,2_0_0,,,,,,,4494.199999999997,82488.10000014305,82481.742,82497.8,86992,86992.60000014305,2024-07-30T16:35:10.585Z,86997.8,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,,,Tko ono da je prodao svoj stan za toliki novac nevjerojatno je??,Ono da je Goran prodao svoj stan za toliki novac nevjerojatno je..,si,30,32,17,,,
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,2684.9999999523134,86992.79999995232,86981.688,86997.8,89682.79999995232,89683.70000004768,2024-07-30T16:35:13.276Z,89697.9,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,3,click @3,,Tko ono da je prodao svoj stan za toliki novac nevjerojatno je??,Ono da je Goran prodao svoj stan za toliki novac nevjerojatno je..,si,30,32,17,,,
,Timer frame,html.Frame,2_0_1,,,,,,,2685.9999999523134,86992.70000004768,86981.688,86997.8,89683.79999995232,89683.90000009537,2024-07-30T16:35:13.276Z,89697.9,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,,,Tko ono da je prodao svoj stan za toliki novac nevjerojatno je??,Ono da je Goran prodao svoj stan za toliki novac nevjerojatno je..,si,30,32,17,,,
,Spremanje,canvas.Screen,2_0_2,,,,,,skipped,,89684,,,89683.79999995232,89684.10000014305,2024-07-30T16:35:13.277Z,89697.9,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,,,Tko ono da je prodao svoj stan za toliki novac nevjerojatno je??,Ono da je Goran prodao svoj stan za toliki novac nevjerojatno je..,si,30,32,17,,,
,Question form,html.Form,2_0_3,,,,,,skipped,,89684.20000004768,,,89683.79999995232,89684.29999995232,2024-07-30T16:35:13.277Z,89697.9,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,,,Tko ono da je prodao svoj stan za toliki novac nevjerojatno je??,Ono da je Goran prodao svoj stan za toliki novac nevjerojatno je..,si,30,32,17,,,
,Answer indication,canvas.Screen,2_0_4,,,,,,skipped,,89689.70000004768,,,89683.79999995232,89689.79999995232,2024-07-30T16:35:13.282Z,89697.9,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,,,Tko ono da je prodao svoj stan za toliki novac nevjerojatno je??,Ono da je Goran prodao svoj stan za toliki novac nevjerojatno je..,si,30,32,17,,,
,inter-stimulus,canvas.Screen,2_0_5,,,,,,response,1163.5000000953733,89689.90000009537,89681.2,89697.9,90861.40000009537,90862.60000014305,2024-07-30T16:35:14.455Z,90864.4,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,mousedown,,Tko ono da je prodao svoj stan za toliki novac nevjerojatno je??,Ono da je Goran prodao svoj stan za toliki novac nevjerojatno je..,si,30,32,17,,,
,Sequence,flow.Sequence,2_0,,,,,,completion,8363.600000095365,82488,82481.742,82497.8,90861.40000009537,90862.70000004768,2024-07-30T16:35:14.455Z,90864.4,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,,,Tko ono da je prodao svoj stan za toliki novac nevjerojatno je??,Ono da je Goran prodao svoj stan za toliki novac nevjerojatno je..,si,30,32,17,,,
,context,canvas.Screen,2_1_0_0,,,,,,response,4222.500000095373,90863,90847.826,90864.4,95086.90000009537,95087.70000004768,2024-07-30T16:35:18.680Z,95097.7,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,click,,"Oni su se svađali navečer, ali ujutro su sve pritužbe već bile zaboravljene..","Navečer su se svađali, ali ujutro su sve pritužbe već bile zaboravljene..",gf,44,40,48,,,
,Timer frame,html.Frame,2_1_0,,,,,,,4223.399999952322,90862.90000009537,90847.826,90864.4,95087.79999995232,95088,2024-07-30T16:35:18.681Z,95097.7,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,,,,"Oni su se svađali navečer, ali ujutro su sve pritužbe već bile zaboravljene..","Navečer su se svađali, ali ujutro su sve pritužbe već bile zaboravljene..",gf,44,40,48,,,
,stimulus,canvas.Screen,2_1_1_0,,,,,,response,1484.0000000476866,95088.20000004768,95081.142,95097.7,96581.70000004768,96583.10000014305,2024-07-30T16:35:20.176Z,96614.5,o0Bxo-wFMk,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8n0n3b,,6,click @6,,"Oni su se svađali navečer, ali ujutro su sve pritužbe već bile zaboravljene..","Navečer su se svađali, ali ujutro su sve pritužbe već bile zaboravljene..",gf,44,40,48,,,
