meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a94c41e3bab725623a426f"",""userAgent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1"",""platform"":""iPhone"",""language"":""hr-HR"",""locale"":""hr-HR"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":390,""screen_height"":844,""scroll_width"":980,""scroll_height"":1636,""window_innerWidth"":980,""window_innerHeight"":1684,""devicePixelRatio"":3}",Demography form,html.Form,0,27,master,mother-tongue,Komercijalist u prodaji,,form submission,27375.000000000004,1386.0000000000002,1395,1426,28801.000000000004,28802,2024-07-30T20:26:05.772Z,28872,vgGmJ1sEeR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8vawka,879141,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,3801,28803,28812,28872,32673,32674,2024-07-30T20:26:09.644Z,32850,vgGmJ1sEeR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8vawka,,,click,,,,,,,,,,
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a94c41e3bab725623a426f"",""userAgent"":""Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1"",""platform"":""iPhone"",""language"":""hr-HR"",""locale"":""hr-HR"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":390,""screen_height"":844,""scroll_width"":980,""scroll_height"":1636,""window_innerWidth"":980,""window_innerHeight"":1684,""devicePixelRatio"":3}",Demography form,html.Form,0,27,master,mother-tongue,Komercijalist u prodaji,,form submission,13965,1342,1346,1387,15352,15352,2024-07-30T20:26:31.206Z,15427,vgGmJ1sEeR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8vawka,879141,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,6005.000000000004,15352,15355,15427,21432.000000000004,21434,2024-07-30T20:26:37.288Z,21478,vgGmJ1sEeR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8vawka,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,12225,21434,21436,21478,33703,33705,2024-07-30T20:26:49.559Z,33744,vgGmJ1sEeR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8vawka,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,11171,33706,33711,33744,44915,44916.00000000001,2024-07-30T20:27:00.770Z,44976,vgGmJ1sEeR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8vawka,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,3950,44916.00000000001,44918,44976,48926,48927,2024-07-30T20:27:04.781Z,48988,vgGmJ1sEeR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8vawka,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,9214,48927,48932,48988,58202,58203,2024-07-30T20:27:14.057Z,58247,vgGmJ1sEeR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8vawka,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,4049,58203,58205,58247,62296,62297.00000000001,2024-07-30T20:27:18.151Z,62358,vgGmJ1sEeR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8vawka,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,3666,62297.00000000001,62303,62358,66024,66025,2024-07-30T20:27:21.879Z,66068,vgGmJ1sEeR,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8vawka,,,click,,,,,,,,,,
