meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/66a93429e3bab725623a41ea"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:128.0) Gecko/20100101 Firefox/128.0"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-120,""screen_width"":1536,""screen_height"":864,""scroll_width"":1320,""scroll_height"":701,""window_innerWidth"":1320,""window_innerHeight"":748,""devicePixelRatio"":1.25}",Demography form,html.Form,0,26,highschool,mother-tongue,nezaposlen,,form submission,70438.02,8166,9154.22,10664.98,81103,81109,2024-07-30T18:44:08.944Z,81120.68,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,485517,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,8797.320000000007,81111,81097.46,81120.68,89918,89936,2024-07-30T18:44:17.771Z,89945.78,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,23394.22,89936,89934.2,89945.78,113340,113351,2024-07-30T18:44:41.187Z,113357.12,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,2154.8800000000047,113351,113347.18,113357.12,115512,115520,2024-07-30T18:44:43.355Z,115521.78,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,2692.220000000001,115520,115517.16,115521.78,118214,118231,2024-07-30T18:44:46.066Z,118235.86,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,4071.1399999999994,118231,118229.72,118235.86,122307,122328,2024-07-30T18:44:50.164Z,122332.14,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,1,click @1,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,819.8600000000006,122329,122327.26,122332.14,123152,123168,2024-07-30T18:44:51.003Z,123181.32,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,2875.679999999993,123168,123165.88,123181.32,126057,126067,2024-07-30T18:44:53.902Z,126078.4,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,9245.600000000006,126068,126065.16,126078.4,135324,135345,2024-07-30T18:45:03.181Z,135353.12,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,5,click @5,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,9267.600000000006,126067,126065.16,126078.4,135346,135347,2024-07-30T18:45:03.183Z,135353.12,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,236.88000000000466,135348,135338.18,135353.12,135590,135613,2024-07-30T18:45:03.449Z,135636.18,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,mousedown,,,,,,,,,,
,Question form,html.Form,1_9,,,,,,form submission,7394.820000000007,135614,135619.52,135636.18,143031,143032,2024-07-30T18:45:10.868Z,143045.86,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,zrele,,,,,,,,,
,Screen,canvas.Screen,1_10,,,,,,response,1027.140000000014,143046,143030.1,143045.86,144073,144089,2024-07-30T18:45:11.925Z,144094.86,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,keypress,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_11,,,,,,response,3228.140000000014,144090,144089.84,144094.86,147323,147344,2024-07-30T18:45:15.180Z,147358.46,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,keypress,,,,,,,,,,
,First stimuli,flow.Sequence,1,,,,,,completion,66202.32,81110,81097.46,81120.68,147323,147344,2024-07-30T18:45:15.180Z,147358.46,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,,,,,,,,,
,context,canvas.Screen,2_0_0_0,,,,,,response,4120.540000000008,147346,147345.66,147358.46,151479,151486,2024-07-30T18:45:19.322Z,151487.94,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,keypress,,Što mama hvali kćer koja je u školi dobila?,Mama hvali kćer koja je u školi dobila peticu.,cnp,,,11,,,
,Timer frame,html.Frame,2_0_0,,,,,,,4127.540000000008,147346,147345.66,147358.46,151486,151487,2024-07-30T18:45:19.322Z,151487.94,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,Što mama hvali kćer koja je u školi dobila?,Mama hvali kćer koja je u školi dobila peticu.,cnp,,,11,,,
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,3977.0599999999977,151488,151487.42,151487.94,155465,155478,2024-07-30T18:45:23.313Z,155484.18,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,1,click @1,,Što mama hvali kćer koja je u školi dobila?,Mama hvali kćer koja je u školi dobila peticu.,cnp,,,11,,,
,Timer frame,html.Frame,2_0_1,,,,,,,3990.0599999999977,151487,151487.42,151487.94,155478,155478,2024-07-30T18:45:23.314Z,155484.18,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,Što mama hvali kćer koja je u školi dobila?,Mama hvali kćer koja je u školi dobila peticu.,cnp,,,11,,,
,Spremanje,canvas.Screen,2_0_2,,,,,,skipped,,155478,,,155478,155478,2024-07-30T18:45:23.314Z,155484.18,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,Što mama hvali kćer koja je u školi dobila?,Mama hvali kćer koja je u školi dobila peticu.,cnp,,,11,,,
,Question form,html.Form,2_0_3,,,,,,skipped,,155479,,,155478,155479,2024-07-30T18:45:23.315Z,155484.18,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,Što mama hvali kćer koja je u školi dobila?,Mama hvali kćer koja je u školi dobila peticu.,cnp,,,11,,,
,Answer indication,canvas.Screen,2_0_4,,,,,,skipped,,155485,,,155478,155485,2024-07-30T18:45:23.321Z,155484.18,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,Što mama hvali kćer koja je u školi dobila?,Mama hvali kćer koja je u školi dobila peticu.,cnp,,,11,,,
,inter-stimulus,canvas.Screen,2_0_5,,,,,,response,1276.820000000007,155486,155476.12,155484.18,156761,156782,2024-07-30T18:45:24.617Z,156799.74,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,mousedown,,Što mama hvali kćer koja je u školi dobila?,Mama hvali kćer koja je u školi dobila peticu.,cnp,,,11,,,
,Sequence,flow.Sequence,2_0,,,,,,completion,9402.540000000008,147346,147345.66,147358.46,156761,156782,2024-07-30T18:45:24.619Z,156799.74,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,Što mama hvali kćer koja je u školi dobila?,Mama hvali kćer koja je u školi dobila peticu.,cnp,,,11,,,
,context,canvas.Screen,2_1_0_0,,,,,,response,5179.260000000009,156784,156783.08,156799.74,161979,161986,2024-07-30T18:45:29.822Z,161994.68,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,click,,Sanjam dvorac iz kojeg se čuje glasan plač daleko..,Sanjam dvorac daleko iz kojeg se čuje glasan plač..,ai,30,37,26,,,
,Timer frame,html.Frame,2_1_0,,,,,,,5187.260000000009,156784,156783.08,156799.74,161987,161987,2024-07-30T18:45:29.823Z,161994.68,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,Sanjam dvorac iz kojeg se čuje glasan plač daleko..,Sanjam dvorac daleko iz kojeg se čuje glasan plač..,ai,30,37,26,,,
,stimulus,canvas.Screen,2_1_1_0,,,,,,response,2704.320000000007,161988,161985.68,161994.68,164699,164712,2024-07-30T18:45:32.547Z,164725.44,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,1,click @1,,Sanjam dvorac iz kojeg se čuje glasan plač daleko..,Sanjam dvorac daleko iz kojeg se čuje glasan plač..,ai,30,37,26,,,
,Timer frame,html.Frame,2_1_1,,,,,,,2717.320000000007,161987,161985.68,161994.68,164712,164712,2024-07-30T18:45:32.547Z,164725.44,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,Sanjam dvorac iz kojeg se čuje glasan plač daleko..,Sanjam dvorac daleko iz kojeg se čuje glasan plač..,ai,30,37,26,,,
,Spremanje,canvas.Screen,2_1_2,,,,,,skipped,,164712,,,164712,164713,2024-07-30T18:45:32.548Z,164725.44,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,Sanjam dvorac iz kojeg se čuje glasan plač daleko..,Sanjam dvorac daleko iz kojeg se čuje glasan plač..,ai,30,37,26,,,
,Question form,html.Form,2_1_3,,,,,,skipped,,164713,,,164712,164713,2024-07-30T18:45:32.548Z,164725.44,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,Sanjam dvorac iz kojeg se čuje glasan plač daleko..,Sanjam dvorac daleko iz kojeg se čuje glasan plač..,ai,30,37,26,,,
,Answer indication,canvas.Screen,2_1_4,,,,,,skipped,,164716,,,164712,164717,2024-07-30T18:45:32.553Z,164725.44,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,,,Sanjam dvorac iz kojeg se čuje glasan plač daleko..,Sanjam dvorac daleko iz kojeg se čuje glasan plač..,ai,30,37,26,,,
,inter-stimulus,canvas.Screen,2_1_5,,,,,,response,831.5599999999977,164717,164710.18,164725.44,165557,165580,2024-07-30T18:45:33.416Z,165607.9,xHUlK1O4oq,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpib7dulz8rmo1n,,,mousedown,,Sanjam dvorac iz kojeg se čuje glasan plač daleko..,Sanjam dvorac daleko iz kojeg se čuje glasan plač..,ai,30,37,26,,,
