meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,answer_true,stimulus,context,island_type,transfer_s,transfer_c,id,right_answer,question,change_date
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/666d43ecd705844101ef3e9a"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""ru-RU"",""locale"":""ru"",""timeZone"":""Europe/Moscow"",""timezoneOffset"":-180,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":690,""window_innerWidth"":1536,""window_innerHeight"":738,""devicePixelRatio"":1.25}",Demography form,html.Form,0,49,highschool,speak-fluently,Ekonomista. Zagreb,,form submission,58832.09999990463,1410.9000000953674,1417.822,1446.5,60278.59999990463,60279,2024-06-15T07:35:04.072Z,60290.7,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,938311,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,18015.499999809268,60279.2999997139,60273.824,60290.7,78306.19999980927,78308.59999990463,2024-06-15T07:35:22.101Z,78322.4,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,,,click,,,,,,,,,,
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/anketa/666d43ecd705844101ef3e9a"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""ru-RU"",""locale"":""ru"",""timeZone"":""Europe/Moscow"",""timezoneOffset"":-180,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":690,""window_innerWidth"":1536,""window_innerHeight"":738,""devicePixelRatio"":1.25}",Demography form,html.Form,0,49,highschool,speak-fluently,Ekonomista. Zagreb,,form submission,14357.900000095367,857.4000000953674,858.032,886.5,15244.400000095367,15244.599999904633,2024-06-15T07:36:00.098Z,15261.8,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,938311,,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,7511.200000000001,15244.900000095367,15232.422,15261.8,22773,22775.299999713898,2024-06-15T07:36:07.628Z,22792.7,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,34140.49999980927,22775.5,22774.692,22792.7,56933.199999809265,56935.699999809265,2024-06-15T07:36:41.789Z,56949,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,,4,click @4,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,17660.199999809265,56935.90000009537,56930.392,56949,74609.19999980927,74610.19999980927,2024-06-15T07:36:59.463Z,74636.6,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,7223.699999713892,74610.2999997139,74605.1,74636.6,81860.2999997139,81861.19999980927,2024-06-15T07:37:06.714Z,81887,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,9453.599999904633,81861.19999980927,81855.3,81887,91340.59999990463,91341.59999990463,2024-06-15T07:37:16.195Z,91355.4,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,,7,click @7,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,53334.29999980927,91341.7999997139,91339.224,91355.4,144689.69999980927,144692.2999997139,2024-06-15T07:38:09.546Z,144730.4,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,,,mousedown,,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,6961.8999997139035,144692.7999997139,144699,144730.4,151692.2999997139,151693.19999980927,2024-06-15T07:38:16.547Z,151699.3,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,,,click,,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,1261.4999997139093,151695,151692.674,151699.3,152960.7999997139,152961.7999997139,2024-06-15T07:38:17.816Z,152980.3,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,,7,click @7,,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,1262.600000095379,151693.2999997139,151692.674,151699.3,152961.90000009537,152962.09999990463,2024-06-15T07:38:17.816Z,152980.3,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,,,,,,,,,,,,,
,Screen,canvas.Screen,1_8,,,,,,response,7411.799999904644,152962.19999980927,152951.132,152980.3,160392.09999990463,160393.19999980927,2024-06-15T07:38:25.247Z,160417.8,z_ZvPU2GEy,incremental,anketa,6645cf40bc81b65c5faccf1d,participant,hcpibcu9lxfsxbpl,,,mousedown,,,,,,,,,,
