meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,stimulus,context,island_type,transfer_s,transfer_c,id,movement,opposition,category
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/jednostavno-test/679f72a4131ae225e46b470f"",""userAgent"":""Mozilla/5.0 (Android 15; Mobile; rv:134.0) Gecko/134.0 Firefox/134.0"",""platform"":""Linux armv81"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-60,""screen_width"":447,""screen_height"":994,""scroll_width"":1078,""scroll_height"":2044,""window_innerWidth"":1078,""window_innerHeight"":2031,""devicePixelRatio"":2.727272727272727}",Demography form,html.Form,0,23,bachelor,mother-tongue,programski inženjer,,form submission,32075.9,3995,4010.38,4035.1,36111,36118,2025-02-02T13:27:35.262Z,36129.94,0xszmjDz0U,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6nnouht,404361,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,11711.059999999998,36121,36099.7,36129.94,47841,47844,2025-02-02T13:27:46.989Z,47852.3,0xszmjDz0U,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6nnouht,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,18338.699999999997,47847,47844.02,47852.3,66191,66198,2025-02-02T13:28:05.342Z,66206.38,0xszmjDz0U,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6nnouht,,7,click @7,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,2449.6199999999953,66199,66199.74,66206.38,68656,68662,2025-02-02T13:28:07.807Z,68671.74,0xszmjDz0U,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6nnouht,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,2871.2599999999948,68664,68655.56,68671.74,71543,71554,2025-02-02T13:28:10.697Z,71563.42,0xszmjDz0U,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6nnouht,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,14187.580000000002,71557,71538.3,71563.42,85751,85763,2025-02-02T13:28:24.907Z,85765.38,0xszmjDz0U,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6nnouht,,3,click @3,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,2166.6199999999953,85766,85745.98,85765.38,87932,87938,2025-02-02T13:28:27.081Z,87946.98,0xszmjDz0U,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6nnouht,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,3692.020000000004,87941,87931.16,87946.98,91639,91644,2025-02-02T13:28:30.788Z,91655.08,0xszmjDz0U,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6nnouht,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,5685.919999999998,91649,91635.5,91655.08,97341,97346,2025-02-02T13:28:36.489Z,97348.3,0xszmjDz0U,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6nnouht,,6,click @6,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,5690.919999999998,91646,91635.5,91655.08,97346,97347,2025-02-02T13:28:36.491Z,97348.3,0xszmjDz0U,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6nnouht,,,,,,,,,,,,
