meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,stimulus,context,island_type,transfer_s,transfer_c,id,movement,opposition,category
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/jednostavno-test/679e8365131ae225e46b4560"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-US"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":647,""window_innerWidth"":1536,""window_innerHeight"":695,""devicePixelRatio"":1.25}",Demography form,html.Form,0,25,master,mother-tongue,inženjer računarstva,,form submission,24783.29999999404,860.9000000059605,851.6,868.3,25651.59999999404,25652.20000001788,2025-02-01T20:26:47.789Z,25665.5,6w7AwWxGao,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mn84ng,221424,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,10768.09999999404,25652.5,25649.038,25665.5,36433.59999999404,36435.09999999404,2025-02-01T20:26:58.572Z,36447.7,6w7AwWxGao,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mn84ng,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,29799.600000011924,36435.30000001192,36432.1,36447.7,66247.30000001192,66248.20000001788,2025-02-01T20:27:28.385Z,66261,6w7AwWxGao,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mn84ng,,7,click @7,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,9139.700000017881,66248.30000001192,66244.602,66261,75400.70000001788,75401.70000001788,2025-02-01T20:27:37.538Z,75426.7,6w7AwWxGao,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mn84ng,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,4593.200000005963,75401.90000000596,75410.064,75426.7,80019.90000000596,80020.90000000596,2025-02-01T20:27:42.160Z,80026.2,6w7AwWxGao,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mn84ng,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,6015.000000017884,80021.20000001788,80009.8,80026.2,86041.20000001788,86042,2025-02-01T20:27:48.181Z,86075.5,6w7AwWxGao,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mn84ng,,1,click @1,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,1259.5999999940395,86042.09999999404,86059.13,86075.5,87335.09999999404,87336,2025-02-01T20:27:49.475Z,87342.2,6w7AwWxGao,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mn84ng,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,3946.5000000178843,87336.20000001788,87325.5,87342.2,91288.70000001788,91290,2025-02-01T20:27:53.429Z,91308.7,6w7AwWxGao,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mn84ng,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,8284.600000011924,91290.80000001192,91291.744,91308.7,99593.30000001192,99594.20000001788,2025-02-01T20:28:01.733Z,99607.6,6w7AwWxGao,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mn84ng,,5,click @5,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,8285.600000011924,91290.30000001192,91291.744,91308.7,99594.30000001192,99594.40000000596,2025-02-01T20:28:01.734Z,99607.6,6w7AwWxGao,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mn84ng,,,,,,,,,,,,
