meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,stimulus,context,island_type,transfer_s,transfer_c,id,movement,opposition,category
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/jednostavno-test/679e1111131ae225e46b42c9"",""userAgent"":""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36"",""platform"":""Linux armv81"",""language"":""hr-HR"",""locale"":""hr"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-60,""screen_width"":360,""screen_height"":780,""scroll_width"":980,""scroll_height"":1871,""window_innerWidth"":980,""window_innerHeight"":1788,""devicePixelRatio"":3}",Demography form,html.Form,0,26,master,mother-tongue,Magistar francuskog jezika i lingvistike,,form submission,41402.799999952316,1384.1000000238419,1390.4,1432.5,42835.299999952316,42836.60000002384,2025-02-01T12:19:08.543Z,42876.1,a8Z-qgkUcx,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m5ssxy,277875,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,4384.699999952318,42837.39999997616,42875.89,42876.1,47260.799999952316,47482.299999952316,2025-02-01T12:19:13.188Z,47532.5,a8Z-qgkUcx,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m5ssxy,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,18935.699999928474,47482.39999997616,47506.882,47532.5,66468.19999992847,66667.79999995232,2025-02-01T12:19:32.374Z,66714.5,a8Z-qgkUcx,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m5ssxy,,7,click @7,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,12554.600000023842,66668.10000002384,66712.982,66714.5,79269.10000002384,79492.79999995232,2025-02-01T12:19:45.199Z,79540.9,a8Z-qgkUcx,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m5ssxy,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,8422.100000000006,79493.10000002384,79523.606,79540.9,87963,88158.29999995232,2025-02-01T12:19:53.864Z,88216.318,a8Z-qgkUcx,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m5ssxy,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,8488.682,88158.5,88216.318,88216.318,96705,96874.60000002384,2025-02-01T12:20:02.581Z,96901.7,a8Z-qgkUcx,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m5ssxy,,1,click @1,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,4785.300000000003,96874.79999995232,96899.304,96901.7,101687,101911.89999997616,2025-02-01T12:20:07.618Z,101968.164,a8Z-qgkUcx,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m5ssxy,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,5727.735999976154,101912.19999992847,101968.164,101968.164,107695.89999997616,107903.69999992847,2025-02-01T12:20:13.610Z,107959.3,a8Z-qgkUcx,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m5ssxy,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,7330.599999976155,107907.19999992847,107934.592,107959.3,115289.89999997616,115463.79999995232,2025-02-01T12:20:21.170Z,115528.6,a8Z-qgkUcx,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m5ssxy,,7,click @7,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,7504.8999999284715,107904,107934.592,107959.3,115464.19999992847,115465.19999992847,2025-02-01T12:20:21.171Z,115528.6,a8Z-qgkUcx,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m5ssxy,,,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_8,,,,,,response,5378.599999928469,115465.39999997616,115528.53,115528.6,120907.19999992847,121108.60000002384,2025-02-01T12:20:26.815Z,121153.3,a8Z-qgkUcx,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m5ssxy,,,mousedown,,,,,,,,,
