meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,stimulus,context,island_type,transfer_s,transfer_c,id,movement,opposition,category
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/jednostavno-test/679e0418131ae225e46b42a1"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""hr-HR"",""locale"":""hr"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":863,""window_innerWidth"":1920,""window_innerHeight"":911,""devicePixelRatio"":1}",Demography form,html.Form,0,44,master,mother-tongue,,,form submission,23798.800000005962,832.4000000059605,843.466,860.1,24658.90000000596,24659.90000000596,2025-02-01T11:23:15.647Z,24670.9,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,428130,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,8388.299999988078,24660.40000000596,24654.926,24670.9,33059.19999998808,33060.90000000596,2025-02-01T11:23:24.048Z,33068.8,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,16935.299999994037,33061.19999998808,33053.628,33068.8,50004.09999999404,50005,2025-02-01T11:23:40.992Z,50015,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,7,click @7,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,6377.799999982119,50005,49998.808,50015,56392.79999998212,56394.5,2025-02-01T11:23:47.382Z,56396.6,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,6911.19999998212,56394.69999998808,56381.546,56396.6,63307.79999998212,63309,2025-02-01T11:23:54.296Z,63328.1,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,3902.19999998212,63309.19999998808,63313.158,63328.1,67230.29999998212,67231.90000000596,2025-02-01T11:23:58.219Z,67244.2,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,1,click @1,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,1414.0999999821215,67232.19999998808,67227.838,67244.2,68658.29999998212,68660,2025-02-01T11:23:59.647Z,68693.6,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,9605.199999982113,68660.19999998808,68677.476,68693.6,78298.79999998212,78300.40000000596,2025-02-01T11:24:09.287Z,78307.8,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,9455.199999999997,78301.29999998212,78293.216,78307.8,87763,87764.69999998808,2025-02-01T11:24:18.752Z,87772.2,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,3,click @3,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,9457.199999999997,78300.59999999404,78293.216,78307.8,87765,87765.40000000596,2025-02-01T11:24:18.752Z,87772.2,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_8,,,,,,response,6685.899999994042,87765.59999999404,87757.128,87772.2,94458.09999999404,94459,2025-02-01T11:24:25.446Z,94470.6,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,mousedown,,,,,,,,,
,First stimuli,flow.Sequence,1,,,,,,completion,69787.19999999405,24660.29999998212,24654.926,24670.9,94458.09999999404,94459.09999999404,2025-02-01T11:24:25.446Z,94470.6,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,,,,,,,,,,
,context,canvas.Screen,2_0_0_0,,,,,,response,7219.499999994034,94459.29999998212,94455.6,94470.6,101690.09999999404,101690.69999998808,2025-02-01T11:24:32.678Z,101702.1,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,click,"Što, Perići znaju, da je Petar kupio na tržnici?",Perići znaju da je Petar kupio sat na tržnici.,fac,,,37,ob,ob + ad_mode,interrogative pronouns
,Timer frame,html.Frame,2_0_0,,,,,,,7220.199999982113,94459.19999998808,94455.6,94470.6,101690.79999998212,101690.90000000596,2025-02-01T11:24:32.678Z,101702.1,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,,"Što, Perići znaju, da je Petar kupio na tržnici?",Perići znaju da je Petar kupio sat na tržnici.,fac,,,37,ob,ob + ad_mode,interrogative pronouns
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,6661.599999988073,101691,101685.654,101702.1,108363.69999998808,108364.59999999404,2025-02-01T11:24:39.352Z,108367.718,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,5,click @5,"Što, Perići znaju, da je Petar kupio na tržnici?",Perići znaju da je Petar kupio sat na tržnici.,fac,,,37,ob,ob + ad_mode,interrogative pronouns
,Timer frame,html.Frame,2_0_1,,,,,,,6662.699999982113,101690.90000000596,101685.654,101702.1,108364.79999998212,108364.90000000596,2025-02-01T11:24:39.352Z,108367.718,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,,"Što, Perići znaju, da je Petar kupio na tržnici?",Perići znaju da je Petar kupio sat na tržnici.,fac,,,37,ob,ob + ad_mode,interrogative pronouns
,inter-stimulus,canvas.Screen,2_0_2,,,,,,response,1104.5819999821251,108365,108367.718,108367.718,109472.29999998212,109474,2025-02-01T11:24:40.461Z,109483.6,cR4aC90T73,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m3tmkg,,,mousedown,"Što, Perići znaju, da je Petar kupio na tržnici?",Perići znaju da je Petar kupio sat na tržnici.,fac,,,37,ob,ob + ad_mode,interrogative pronouns
