meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,stimulus,context,island_type,transfer_s,transfer_c,id,movement,opposition,category
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/jednostavno-test/679e3c23131ae225e46b4373"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-DE"",""locale"":""en-US"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-60,""screen_width"":2560,""screen_height"":1440,""scroll_width"":2560,""scroll_height"":1231,""window_innerWidth"":2560,""window_innerHeight"":1279,""devicePixelRatio"":1}",Demography form,html.Form,0,36,master,mother-tongue,"ekonomist, računovođa",,form submission,32575.30000009537,602.5,609.4,626.1,33201.40000009537,33201.799999952316,2025-02-01T15:22:47.364Z,33203,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,730172,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,9031.200000047684,33202,33202.482,33203,42234.200000047684,42234.700000047684,2025-02-01T15:22:56.397Z,42243.7,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,68702.70000009537,42234.799999952316,42226.9,42243.7,110946.40000009537,110946.90000009537,2025-02-01T15:24:05.110Z,110950.2,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,7,click @7,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,3993.3999999046355,110947,110933.5,110950.2,114943.59999990463,114944.59999990463,2025-02-01T15:24:09.107Z,114970.2,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,7159.300000000003,114944.70000004768,114953.6,114970.2,122129.5,122129.90000009537,2025-02-01T15:24:16.292Z,122142.8,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,11167.699999999997,122129.90000009537,122126,122142.8,133310.5,133311,2025-02-01T15:24:27.474Z,133318.7,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,1,click @1,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,1067.0999999523046,133311.09999990463,133301.9,133318.7,134385.79999995232,134386.29999995232,2025-02-01T15:24:28.549Z,134402.9,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,3487.6999999046384,134386.40000009537,134386.2,134402.9,137890.59999990463,137891,2025-02-01T15:24:32.054Z,137905.7,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,5231.899999904621,137892.09999990463,137889.1,137905.7,143137.59999990463,143138,2025-02-01T15:24:37.301Z,143143.4,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,7,click @7,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,5232.399999904621,137891,137889.1,137905.7,143138.09999990463,143138.20000004768,2025-02-01T15:24:37.301Z,143143.4,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_8,,,,,,response,3533.5000000953733,143138.20000004768,143126.766,143143.4,146676.90000009537,146677.59999990463,2025-02-01T15:24:40.840Z,146679.7,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,mousedown,,,,,,,,,
,First stimuli,flow.Sequence,1,,,,,,completion,113473.90000009537,33201.90000009537,33202.482,33203,146676.90000009537,146677.70000004768,2025-02-01T15:24:40.840Z,146679.7,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,,,,,,,,,,
,context,canvas.Screen,2_0_0_0,,,,,,response,4199.000000047672,146678,146678.196,146679.7,150878.70000004768,150879,2025-02-01T15:24:45.042Z,150883.1,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,click,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,Timer frame,html.Frame,2_0_0,,,,,,,4199.399999904621,146677.79999995232,146678.196,146679.7,150879.09999990463,150879.20000004768,2025-02-01T15:24:45.042Z,150883.1,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,9097.600000047678,150879.29999995232,150867.596,150883.1,159980.70000004768,159981.09999990463,2025-02-01T15:24:54.144Z,160007.3,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,5,click @5,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,Timer frame,html.Frame,2_0_1,,,,,,,9098.100000047678,150879.20000004768,150867.596,150883.1,159981.20000004768,159981.29999995232,2025-02-01T15:24:54.144Z,160007.3,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,inter-stimulus,canvas.Screen,2_0_2,,,,,,response,2252.9000000476954,159981.29999995232,159990.6,160007.3,162260.20000004768,162260.79999995232,2025-02-01T15:24:56.423Z,162275.8,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,mousedown,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,Sequence,flow.Sequence,2_0,,,,,,completion,15580.500000047672,146677.79999995232,146678.196,146679.7,162260.20000004768,162260.79999995232,2025-02-01T15:24:56.423Z,162275.8,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,,"Kome, učitelj je pitao, što treba ponovno objasniti?",Učitelj je pitao što treba učenicima ponovno objasniti..,iq,0,36,4,ob_dir,ob_dir + ob_indir,interrogative pronouns
,context,canvas.Screen,2_1_0_0,,,,,,response,3207.9000000476954,162261,162259.1,162275.8,165483.70000004768,165484,2025-02-01T15:24:59.647Z,165511.8,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,click,Što je Anton napisao u pismu?,Anton je u pismu napisao besmislicu.,gf,,,45,filler,filler,filler
,Timer frame,html.Frame,2_1_0,,,,,,,3208.2000000000116,162260.90000009537,162259.1,162275.8,165484,165484.09999990463,2025-02-01T15:24:59.647Z,165511.8,emVzklJhmZ,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6mcd33v,,,,Što je Anton napisao u pismu?,Anton je u pismu napisao besmislicu.,gf,,,45,filler,filler,filler
