meta,sender,sender_type,sender_id,age,education,croatian-knowledge,occupation,,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,openLabId,type,task,project,status,code,confirmationCode,response,response_action,stimulus,context,island_type,transfer_s,transfer_c,id,movement,opposition,category
"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""production"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://open-lab.online/test/jednostavno-test/679e139d131ae225e46b42e3"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en"",""locale"":""en-US"",""timeZone"":""Europe/Zagreb"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1200,""scroll_width"":1920,""scroll_height"":1017,""window_innerWidth"":1920,""window_innerHeight"":1065,""devicePixelRatio"":1}",Demography form,html.Form,0,32,highschool,mother-tongue,,,form submission,25422.3,548.5,553.6,570.2,25992.5,25992.800000000745,2025-02-01T12:29:46.964Z,26019.6,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,725340,,,,,,,,,,,
,context,canvas.Screen,1_0,,,,,,response,5277.2000000007465,25993,26003.028,26019.6,31296.800000000745,31297.400000000373,2025-02-01T12:29:52.269Z,31302.814,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_1,,,,,,response,12504.285999999629,31297.5,31302.814,31302.814,43807.09999999963,43807.800000000745,2025-02-01T12:30:04.779Z,43819.1,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,7,click @7,,,,,,,,,
,inter-stimulus,canvas.Screen,1_2,,,,,,response,1368.999999999629,43807.800000000745,43802.5,43819.1,45188.09999999963,45188.59999999963,2025-02-01T12:30:06.160Z,45202.5,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_3,,,,,,response,5542.9000000003725,45188.59999999963,45185.8,45202.5,50745.40000000037,50746.09999999963,2025-02-01T12:30:11.717Z,50752.2,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_4,,,,,,response,7235.600000000748,50746.09999999963,50735.698,50752.2,57987.800000000745,57988.5,2025-02-01T12:30:18.960Z,58002,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,1,click @1,,,,,,,,,
,inter-stimulus,canvas.Screen,1_5,,,,,,response,579.9000000003725,57988.59999999963,57985.562,58002,58581.90000000037,58582.300000000745,2025-02-01T12:30:19.554Z,58602,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,mousedown,,,,,,,,,
,context,canvas.Screen,1_6,,,,,,response,3096.4000000003725,58582.40000000037,58585.4,58602,61698.40000000037,61699.199999999255,2025-02-01T12:30:22.671Z,61701.9,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,click,,,,,,,,,
,stimulus,canvas.Screen,1_7_0,,,,,,response,5842.000000000371,61699.40000000037,61685.288,61701.9,67543.90000000037,67544.40000000037,2025-02-01T12:30:28.516Z,67568.5,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,5,click @5,,,,,,,,,
,Timer frame,html.Frame,1_7,,,,,,,5842.5999999999985,61699.199999999255,61685.288,61701.9,67544.5,67544.59999999963,2025-02-01T12:30:28.516Z,67568.5,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,,,,,,,,,
,inter-stimulus,canvas.Screen,1_8,,,,,,response,4858.5,67544.69999999925,67551.8,67568.5,72427,72427.80000000075,2025-02-01T12:30:33.399Z,72435,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,mousedown,,,,,,,,,
,First stimuli,flow.Sequence,1,,,,,,completion,46407.4,25993,26003.028,26019.6,72427,72427.90000000037,2025-02-01T12:30:33.399Z,72435,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,,,,,,,,,
,context,canvas.Screen,2_0_0_0,,,,,,response,2415.800000000745,72428.09999999963,72418.392,72435,74850.80000000075,74851.40000000037,2025-02-01T12:30:35.823Z,74868.3,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,click,Pronašao sam taj uređaj koji mislim da je Marina izgubila.,Mislim da je Marina izgubila laptop.,fac,,,42,ob,ob + ob,non-interrogative component
,Timer frame,html.Frame,2_0_0,,,,,,,2416.4000000003725,72427.90000000037,72418.392,72435,74851.40000000037,74851.5,2025-02-01T12:30:35.823Z,74868.3,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,,,Pronašao sam taj uređaj koji mislim da je Marina izgubila.,Mislim da je Marina izgubila laptop.,fac,,,42,ob,ob + ob,non-interrogative component
,stimulus,canvas.Screen,2_0_1_0,,,,,,response,4917.699999999997,74851.80000000075,74851.766,74868.3,79786,79786.59999999963,2025-02-01T12:30:40.758Z,79801.5,iPKLhLSMmI,incremental,jednostavno-test,679df971131ae225e46b4282,participant,hcpib7hgm6m66k0j,,4,click @4,Pronašao sam taj uređaj koji mislim da je Marina izgubila.,Mislim da je Marina izgubila laptop.,fac,,,42,ob,ob + ob,non-interrogative component
